index,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage,i_w_bhr_weg,o_w_bhr_power,o_w_bhr_voltage,i_w_bru_weg,o_w_bru_power,o_w_bru_voltage,i_w_hr_weg,o_w_hr_power,o_w_hr_voltage,i_w_hl_weg,o_w_hl_power,o_w_hl_voltage,labels
15903,-104,0,0,179,20845,54,442,14739,51,573,7,1,-833,10028,26,-833,15346,27,0
13288,360,24976,56,877,0,1,477,0,0,574,0,0,-833,10972,26,-833,10999,27,1
15643,-108,0,0,0,22,0,167,22960,56,574,0,1,-833,16237,29,-833,21056,29,0
9327,-107,0,0,0,0,0,155,20515,55,515,21168,56,0,13618,27,0,5734,26,0
19961,8,0,0,-547,86,2,-750,14739,50,-89,21114,55,0,20766,29,0,4120,26,0
5379,401,24090,56,877,0,0,477,0,0,578,38,1,-833,9716,26,-833,10567,26,0
18110,-149,0,0,367,22456,56,477,0,0,573,0,0,-833,7974,24,-833,27682,31,1
14991,7,0,0,-545,279,3,-274,20496,57,572,0,0,0,20070,29,0,10756,26,1
7241,-107,0,0,0,27,1,392,0,0,574,0,0,-759,8634,221,-761,4198,226,1
16037,8,0,0,-547,41,0,-428,21010,55,573,24,1,0,26721,31,0,6736,24,0
933,-108,0,0,0,70,1,-1255,0,0,74,19415,56,0,2872,24,0,10418,24,0
8383,8,0,0,-547,70,2,-418,21112,56,573,0,0,0,22390,29,0,7408,23,0
16840,-104,0,0,0,60,1,216,23313,57,567,5325,25,0,13834,27,0,7408,26,0
3485,-105,0,0,0,49,2,-1267,0,0,267,22660,54,0,7376,26,0,10366,26,0
18913,19,6107,31,-209,18200,52,476,0,0,573,0,0,-833,8234,26,-833,15562,29,0
12423,-105,0,0,66,19608,56,330,19030,55,574,0,0,-833,10574,26,-833,19548,29,0
1369,-105,0,0,0,24,1,208,24416,56,572,4239,27,0,19635,29,0,7096,24,0
7591,210,25251,58,-12,22797,51,478,0,0,573,0,0,-833,9950,26,-833,12997,27,0
4205,10,0,0,-259,24225,57,477,0,0,574,0,0,0,5972,26,0,11874,26,0
1548,-106,0,0,361,23258,58,476,186,2,574,0,0,-833,10288,26,-833,24159,29,0
