Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: dteday, MSE: 0.17308869705179258, Jaccard: 0.8896399353932215
Attribute: season, MSE: 230.03080471668287, Jaccard: 0.9976217964994692
Attribute: yr, MSE: 0.18897040822920347, Jaccard: 0.9977973076518012
Attribute: mnth, MSE: 0.2648922709869287, Jaccard: 0.9929663030852754
Attribute: hr, MSE: 0.06819231419063851, Jaccard: 0.9751749648528372
Attribute: holiday, MSE: 2154.745874869273, Jaccard: 0.9991210941091241
Attribute: weekday, MSE: 0.08959033875956735, Jaccard: 0.992316421999625
Attribute: workingday, MSE: 0.21930658384098312, Jaccard: 0.9980119645048081
Attribute: weathersit, MSE: 0.035330368004853535, Jaccard: 0.9956158374403701
Attribute: temp, MSE: 0.033418107447288146, Jaccard: 0.9543648571551843
Attribute: atemp, MSE: 0.02038832559354084, Jaccard: 0.9423745495773564
Attribute: hum, MSE: 0.028693151249097125, Jaccard: 0.9167332433478841
Attribute: windspeed, MSE: 0.015558169933844833, Jaccard: 0.9690999853781158
Attribute: casual, MSE: 0.015082820668533087, Jaccard: 0.7649550175953155
Attribute: registered, MSE: 0.02317509758915435, Jaccard: 0.5780994878896458
Attribute: cnt, MSE: nan, Jaccard: 0.0
加权混合距离: 70.58577232370533
