dataset,target,task,NoFix,RepairAll,gap
hospital,ProviderNumber,classification,0.0,0.995,0.995
hospital,HospitalName,classification,0.995,0.995,0.0
hospital,Address1,classification,0.985,0.995,0.01
hospital,Address2,classification,1.0,1.0,0.0
hospital,Address3,classification,1.0,1.0,0.0
hospital,City,classification,0.99,0.995,0.005
hospital,State,classification,1.0,1.0,0.0
hospital,ZipCode,classification,0.0,0.995,0.995
hospital,CountyName,classification,0.995,0.995,0.0
hospital,PhoneNumber,classification,0.0,0.995,0.995
hospital,HospitalType,classification,1.0,1.0,0.0
hospital,HospitalOwner,classification,0.995,0.995,0.0
hospital,EmergencyService,classification,0.995,1.0,0.005
hospital,Condition,classification,1.0,0.995,-0.005
hospital,MeasureCode,classification,0.96,0.935,-0.025
hospital,MeasureName,classification,0.925,0.885,-0.04
hospital,Score,classification,0.34,0.36,0.02
hospital,Sample,classification,0.175,0.22,0.045
hospital,Stateavg,classification,0.955,0.935,-0.02
rayyan,article_language,classification,0.36,0.465,0.105
tax,rate,regression,0.9891,0.9884,-0.0007
