index,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
6283,359951.15,4.0,0.0,9.0,8.0,1.0,6.0,0.0,2.0,0.58,0.5455,0.9,0.0896,19.0,102.0,121.0
7450,359399.0,4.0,0.0,9.0,1.7763568394002505e-15,1.0,6.0,0.0,1.0,0.24,0.24239999999999998,0.6,0.1343,12.0,51.999999999999986,64.0
9993,368591.4143169428,4.0,1.0,2.0,9.0,1.0,0.0,0.0,1.0,0.22000000000000003,0.2121,0.47,0.2239,11.0,76.0,87.0
1194,359674.8999597333,1.0000000000000036,0.0,2.0,18.0,1.0,2.0,1.0,1.0,0.22000000000000003,0.22730000000000003,0.47,0.1343,6.0,161.0,167.0
7845,361648.69912378764,4.0,0.0,11.0,12.0,0.0,1.0,1.0,1.0,0.56,0.5303,0.6,0.10450000000000001,13.0,165.0,178.0
977,359845.7297327844,4.0,0.0,2.0,8.0,1.0,0.0,0.0,2.0,0.22000000000000003,0.22730000000000003,0.64,0.194,1.7900737558095585,11.0,12.0
12510,368375.1,4.0,1.0,6.0,10.0,0.9999999999999964,0.0,0.0,1.0,0.76,0.6818,0.4,0.10450000000000001,148.0,265.0,413.0
7782,362061.93406999053,4.0,0.0,9.0,20.0,0.0,5.0,1.0,1.0,0.4,0.4091,0.58,0.0896,19.0,76.0,95.0
5675,359798.7248914399,3.0,0.0,6.0,21.0,0.0,1.0,1.0,1.0,0.64,0.6212,0.53,0.194,34.0,168.0,202.0
6787,360187.58993313916,4.0,0.0,9.0,8.0,0.0,6.0,0.0,1.3610394072002638,0.46,0.4545,0.59,0.1906519583220544,24.0,101.0,125.0
2964,359616.1064715412,4.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,0.56,0.5303,0.52,0.2239,48.0,112.0,160.0
1585,359639.05,91.0,0.0,2.615340038362066,12.0,0.0,5.0,1.0,2.0,0.3400000000000001,0.3182,0.53,0.2537,15.0,96.0,111.0
12017,367166.35781799775,2.0,1.0,3.0,21.0,0.0,0.0,0.0,1.0,0.64,0.6061,0.69,0.3881,51.0,182.0,233.0
14873,368519.15,3.0,1.0,9.0,21.0,1.0,0.0,0.0,1.0,0.6,0.6212,0.56,0.10450000000000001,43.0,148.0,191.0
6076,359735.15,-90.33371597000001,0.0,3.7846888180748253,17.0,0.0,4.0,1.0,3.0,0.48,0.4697,0.82,0.4627,31.0,230.0,261.0
11954,368164.80202931433,2.0,1.0,3.0,6.0,0.0,5.0,1.0,1.0,0.44,0.4394,0.77,0.1343,14.0,168.0,182.0
1976,360047.05,3.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,0.22000000000000003,0.22730000000000003,0.44,0.1642,0.0,2.0,2.0
3913,359759.1,2.0,0.0,3.0,22.0,0.0,4.0,1.0,3.0,0.62,0.5758,0.83,0.2537,24.0,127.0,151.0
16189,368293.32216385554,4.0,1.0,11.0,6.0,1.0,1.0,0.0,1.0,0.41233404638719057,0.3939,0.87,0.10450000000000001,7.0,64.0,71.0
12080,368687.0833,2.0,1.0,3.0,12.0,0.0,3.0,1.0,2.0,0.66,0.6212,0.69,0.0896,42.0,206.0,248.0
15905,368879.1667,4.0,1.0,10.0,9.0,0.0,3.0,1.0,1.0,0.3400000000000001,0.3333,0.76,0.1343,17.0,280.0,297.0
9181,368687.0167,4.0,1.0,9.0,10.0,0.0,1.0,1.0,2.0,0.2,0.2576,0.93,0.0,10.0,139.0,149.0
6890,361178.33167694183,4.0,0.0,9.0,16.0,0.0,3.0,1.0,3.0,0.56,0.5303,0.94,0.1642,21.0,180.0,201.0
12958,368831.1,3.9608627106574623,1.0,7.188221928065367,2.0,0.0,5.0,1.0,1.0,0.72,0.6667,0.58,0.194,3.0,15.0,18.0
8360,359831.2,4.0,0.0,9.0,23.0,0.0,1.0,1.0,1.0,0.36,0.3485,0.53,0.1642,10.0,50.0,60.0
2841,359447.0833,4.0,0.0,5.0,6.0,0.0,2.0,1.0,2.0,0.52,0.5,0.94,0.1642,7.0,102.0,109.0
8820,368674.8110698333,4.0,1.0,9.0,7.0,0.0,0.0,0.0,2.0,0.3,0.3333,0.52,0.0,1.0,23.0,24.0
12805,368663.1,4.0,1.0,6.0,17.0,0.0,4.281944582257572,1.0,2.0,0.82,0.7315848074035256,0.38,0.1642,95.0,551.0,646.0
6213,359879.15,3.0,0.0,6.0,10.0,0.0,3.0,1.0,2.0,0.6,0.5455,0.88,0.0,30.0,103.0,133.0
15076,368735.15,4.0,1.0,9.0,8.0,0.0,2.0,1.0,1.0,0.48,0.4697,0.67,0.194,41.0,764.0,805.0
8501,359975.2,1.0000000000000036,0.0,12.0,21.0,1.0,0.0,0.0,1.0,0.3,0.303,0.56,0.1343,4.0,15.0,19.0
12300,368159.1,2.0,1.0,3.0,16.0,0.0,5.0,1.0,3.0,0.74,0.6818,0.58,0.4478,36.0,186.0,222.0
7277,359471.1833,4.0,0.0,9.0,19.0,0.0,5.0,1.0,1.0,0.4,0.4091,0.37,0.35819999999999996,14.0,182.0,196.0
1833,359903.05,4.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.44,0.4394,0.94,0.0896,0.0,1.0,1.0
10003,368759.0333,37.0,1.0,2.0,19.0,0.0,0.0,0.0,1.0,0.3400000000000001,0.3333,0.34,0.1642,13.0,130.0,143.0
4506,359583.17600891995,3.0,0.0,6.0,15.0,0.0,1.0,1.0,1.0,0.86,0.8485,0.41117694973301255,0.4179,38.0,108.0,146.0
9982,368442.67043541424,4.0,1.0,2.0,22.0,1.0,6.0,0.0,1.5522191538075374,0.24,0.197,0.38,0.4627,4.0,78.0,82.0
38,359600.08475615387,4.0,0.0,2.0181574061057006,14.0,0.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0
17308,368831.2,1.0000000000000036,1.0,12.0,1.7763568394002505e-15,1.0,6.0,0.0,2.0,0.24,0.24239999999999998,0.7,0.0,1.0,25.0,26.0
3989,359855.1,2.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.64,0.5758,0.89,0.0896,2.0,0.0,2.0
11052,367605.0542839926,2.0,1.0,3.0,15.0,0.0,2.0,1.0,1.0,0.56,0.5303,0.20999999999999996,0.2985,46.0,157.0,203.0
714,359980.5880282955,4.0,0.0,2.0,2.0,1.0,3.0,1.0,3.0,0.22000000000000003,0.22730000000000003,0.93,0.1343,4.0,0.0,4.0
560,359827.1240914239,4.0,0.0,2.362342389074419,12.0,1.0,2.0,0.0,2.0,0.26,0.2879,0.56,0.0896,21.0,85.0,106.0
