index,frequency,angle,chord_length,velocity,thickness,sound_pressure_level
137,2500,3.0,0.3048,39.6,0.00495741,120.162
606,2500,7.2,0.1524,71.3,0.00752039,124.353
1447,630,12.3,0.1016,39.6,0.0408268,121.315
680,315,9.9,0.1524,31.7,0.0252785,128.809
1203,1000,17.4,0.0254,31.7,0.0176631,131.796
1369,315,6.7,0.1016,31.7,0.00592927,126.266
582,6300,5.4,0.1524,39.6,0.00485029,116.677
1478,500,15.6,0.1016,71.3,0.0437259,130.638
793,3150,4.2,0.0508,39.6,0.00152689,133.587
1392,5000,8.9,0.1016,71.3,0.0103088,116.723
377,315,5.3,0.2286,39.6,0.00614329,129.691
315,16000,4.0,0.2286,71.3,0.00400603,112.768
443,500,7.3,0.2286,31.7,0.0132672,128.169
320,800,4.0,0.2286,55.5,0.0042862,131.864
810,630,8.4,0.0508,55.5,0.00544854,126.152
1189,1250,17.4,0.0254,39.6,0.0172206,131.364
1243,1000,0.0,0.1016,71.3,0.00121072,128.825
425,315,7.3,0.2286,39.6,0.0123481,132.149
554,6300,5.4,0.1524,71.3,0.00401199,116.411
595,5000,5.4,0.1524,31.7,0.00525474,115.691
899,3150,15.4,0.0508,55.5,0.0271925,123.46
865,1600,11.2,0.0508,39.6,0.0150478,126.54
1129,8000,12.7,0.0254,71.3,0.0121808,120.538
1221,3150,22.2,0.0254,71.3,0.0214178,124.127
629,10000,7.2,0.1524,39.6,0.00909175,110.868
228,5000,0.0,0.2286,39.6,0.00253511,122.175
719,1600,12.6,0.1524,39.6,0.0584113,110.78
827,2000,8.4,0.0508,39.6,0.00566229,129.965
985,2000,0.0,0.0254,39.6,0.000428464,130.026
984,1600,0.0,0.0254,39.6,0.000428464,124.156
67,800,1.5,0.3048,71.3,0.00336729,127.122
394,400,7.3,0.2286,71.3,0.0104404,139.438
580,4000,5.4,0.1524,39.6,0.00485029,117.137
995,1000,0.0,0.0254,31.7,0.000439472,125.127
212,3150,0.0,0.2286,55.5,0.00229336,125.16
1396,315,8.9,0.1016,39.6,0.0124596,135.38
786,10000,4.2,0.0508,71.3,0.00142788,121.238
537,5000,2.7,0.1524,39.6,0.00294804,121.499
721,2500,12.6,0.1524,39.6,0.0584113,106.88
666,500,9.9,0.1524,39.6,0.0233328,126.835
86,1000,1.5,0.3048,39.6,0.00392107,127.581
1353,500,6.7,0.1016,55.5,0.0052139,129.343
273,400,2.0,0.2286,39.6,0.00346574,122.147
1165,200,17.4,0.0254,55.5,0.0165706,109.951
665,400,9.9,0.1524,39.6,0.0233328,128.345
1354,630,6.7,0.1016,55.5,0.0052139,133.023
631,250,9.9,0.1524,71.3,0.0193001,135.329
1036,1600,4.8,0.0254,39.6,0.000907475,125.966
1403,1600,8.9,0.1016,39.6,0.0124596,123.82
1002,5000,0.0,0.0254,31.7,0.000439472,138.607
274,500,2.0,0.2286,39.6,0.00346574,125.157
1054,4000,4.8,0.0254,31.7,0.000930789,135.328
363,630,5.3,0.2286,71.3,0.0051942,131.8
623,2500,7.2,0.1524,39.6,0.00909175,117.478
3,1250,0.0,0.3048,71.3,0.00266337,125.951
7,3150,0.0,0.3048,71.3,0.00266337,125.201
312,8000,4.0,0.2286,71.3,0.00400603,112.848
708,5000,12.6,0.1524,71.3,0.0483159,108.034
944,1600,19.7,0.0508,71.3,0.0341183,120.575
1481,1000,15.6,0.1016,71.3,0.0437259,124.438
216,315,0.0,0.2286,39.6,0.00253511,121.055
1224,6300,22.2,0.0254,71.3,0.0214178,123.127
28,10000,0.0,0.3048,55.5,0.00283081,113.076
1085,400,9.5,0.0254,39.6,0.00449821,121.154
1273,1600,0.0,0.1016,39.6,0.00146332,133.261
681,400,9.9,0.1524,31.7,0.0252785,128.939
639,1600,9.9,0.1524,71.3,0.0193001,121.789
756,2000,0.0,0.0508,39.6,0.000791822,132.918
1459,250,12.3,0.1016,31.7,0.0418756,125.857
625,4000,7.2,0.1524,39.6,0.00909175,114.258
1309,1000,3.3,0.1016,55.5,0.002211,131.129
257,8000,2.0,0.2286,71.3,0.00293031,115.996
26,6300,0.0,0.3048,55.5,0.00283081,117.976
337,1250,4.0,0.2286,39.6,0.00473801,128.339
573,800,5.4,0.1524,39.6,0.00485029,132.757
48,12500,0.0,0.3048,39.6,0.00310138,109.619
107,3150,3.0,0.3048,71.3,0.00425727,121.514
350,630,4.0,0.2286,31.7,0.00509068,130.349
56,1000,0.0,0.3048,31.7,0.00331266,127.365
813,1250,8.4,0.0508,55.5,0.00544854,132.252
214,5000,0.0,0.2286,55.5,0.00229336,122.41
121,2500,3.0,0.3048,55.5,0.00452492,122.439
875,630,15.4,0.0508,71.3,0.0264269,129.645
1399,630,8.9,0.1016,39.6,0.0124596,131.92
73,3150,1.5,0.3048,71.3,0.00336729,123.392
860,500,11.2,0.0508,39.6,0.0150478,131.96
725,6300,12.6,0.1524,39.6,0.0584113,103.38
46,8000,0.0,0.3048,39.6,0.00310138,114.779
1346,800,6.7,0.1016,71.3,0.00478288,134.478
524,10000,2.7,0.1524,71.3,0.00243851,116.724
874,500,15.4,0.0508,71.3,0.0264269,127.285
807,5000,8.4,0.0508,71.3,0.00529514,121.146
869,4000,11.2,0.0508,39.6,0.0150478,115.52
799,800,8.4,0.0508,71.3,0.00529514,127.556
534,2500,2.7,0.1524,39.6,0.00294804,125.589
1141,2500,12.7,0.0254,39.6,0.0130253,129.027
