index,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage,i_w_bhr_weg,o_w_bhr_power,o_w_bhr_voltage,i_w_bru_weg,o_w_bru_power,o_w_bru_voltage,i_w_hr_weg,o_w_hr_power,o_w_hr_voltage,i_w_hl_weg,o_w_hl_power,o_w_hl_voltage,labels
1,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,-26.0,84.0,11.0,0.0,7168.0,26.0,0.0,7720.0,24.000000000000004,0.0
3,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,-26.0,84.0,11.0,0.0,7168.0,26.0,0.0,7720.0,24.000000000000004,0.0
4,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,29.0,21725.0,54.0,0.0,6726.0,26.0,0.0,10756.0,26.0,0.0
5,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,29.0,21725.0,54.0,0.0,6726.0,26.0,0.0,10756.0,26.0,0.0
6,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,17.84658106366909,29.0,21725.0,54.0,0.0,6726.0,26.0,0.0,10756.0,26.0,0.0
7,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,107.0,23072.0,56.0,0.0,6726.0,26.0,0.0,7408.0,24.000000000000004,0.0
8,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,107.0,23072.0,56.0,0.0,6726.0,26.0,0.0,7408.0,24.000000000000004,0.0
9,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,107.0,23072.0,13.240756395995557,0.0,6726.0,26.0,0.0,7408.0,24.000000000000004,0.0
10,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,107.0,23072.0,56.0,0.0,6726.0,26.0,0.0,7408.0,24.000000000000004,0.0
11,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,185.0,22904.0,56.0,0.0,6232.0,26.0,0.0,7408.0,24.000000000000004,0.0
12,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,185.0,22904.0,56.0,0.0,6232.0,26.0,0.0,7408.0,24.000000000000004,0.0
13,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,185.0,22904.0,56.0,0.0,6232.0,26.0,0.0,7408.0,24.000000000000004,0.0
14,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,185.0,22904.0,56.0,0.0,6232.0,26.0,0.0,7408.0,24.000000000000004,0.0
15,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,185.0,22904.0,56.0,0.0,6232.0,26.0,0.0,7408.0,24.000000000000004,0.0
16,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,263.0,27480.000000000004,58.0,0.0,6232.0,26.0,0.0,10366.0,26.0,0.0
17,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1268.0,0.0,0.0,263.0,27480.000000000004,58.0,0.0,6232.0,26.0,0.0,10366.0,26.0,0.0
18,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,7.105427357601002e-15,8.0,1.0,342.0,19331.999999999996,54.0,0.0,6232.0,26.0,0.0,7048.0,26.0,0.0
19,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,7.105427357601002e-15,8.0,1.0,342.0,19331.999999999996,54.0,0.0,6232.0,26.0,0.0,7048.0,26.0,0.0
20,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,7.105427357601002e-15,8.0,1.0,342.0,19331.999999999996,54.0,0.0,6232.0,26.0,0.0,7048.0,26.0,0.0
22,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,54.0,17875.0,55.0,420.0,19768.0,55.0,0.0,8364.0,26.0,0.0,7048.0,24.000000000000004,0.0
24,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,54.0,17875.0,55.0,420.0,19768.0,55.0,0.0,8364.0,26.0,0.0,7048.0,24.000000000000004,0.0
25,-107.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,54.0,6112.634230871785,55.0,420.0,19768.0,55.0,0.0,8364.0,26.0,0.0,7048.0,24.000000000000004,0.0
