dataset,method,model,test_metric
beers,NoFix,rf,0.23236514522821577
beers,NoFix,lr,0.18464730290456433
beers,NoFix,svm,0.2095435684647303
beers,NoFix,knn,0.1970954356846473
beers,NoFix,dt,0.2157676348547718
beers,NoFix,gb,0.13900414937759337
beers,RepairAll,rf,0.2946058091286307
beers,RepairAll,lr,0.18464730290456433
beers,RepairAll,svm,0.21784232365145229
beers,RepairAll,knn,0.2821576763485477
beers,RepairAll,dt,0.2800829875518672
beers,RepairAll,gb,0.2966804979253112
beers,LLM,rf,0.2717842323651452
beers,LLM,lr,0.1887966804979253
beers,LLM,svm,0.22406639004149378
beers,LLM,knn,0.22406639004149378
beers,LLM,dt,0.26348547717842324
beers,LLM,gb,0.27800829875518673
beers,DemandClean,rf,0.3445
beers,DemandClean,lr,0.2317
beers,DemandClean,svm,0.1858
beers,DemandClean,knn,0.1754
beers,DemandClean,dt,0.2547
beers,DemandClean,gb,0.3194
flights,NoFix,rf,1.0
flights,NoFix,lr,0.5294117647058824
flights,NoFix,svm,0.6218487394957983
flights,NoFix,knn,0.6848739495798319
flights,NoFix,dt,0.9810924369747899
flights,NoFix,gb,1.0
flights,RepairAll,rf,1.0
flights,RepairAll,lr,0.6365546218487395
flights,RepairAll,svm,0.6827731092436975
flights,RepairAll,knn,0.8319327731092437
flights,RepairAll,dt,1.0
flights,RepairAll,gb,1.0
flights,DeleteAll,rf,0.8487394957983193
flights,DeleteAll,lr,0.5399159663865546
flights,DeleteAll,svm,0.5084033613445378
flights,DeleteAll,knn,0.569327731092437
flights,DeleteAll,dt,0.907563025210084
flights,DeleteAll,gb,0.8319327731092437
flights,baran,rf,1.0
flights,baran,lr,0.5483193277310925
flights,baran,svm,0.7016806722689075
flights,baran,knn,0.8235294117647058
flights,baran,dt,0.9138655462184874
flights,baran,gb,0.9894957983193278
flights,bigdansing,rf,0.8928571428571429
flights,bigdansing,lr,0.5378151260504201
flights,bigdansing,svm,0.5399159663865546
flights,bigdansing,knn,0.615546218487395
flights,bigdansing,dt,0.7878151260504201
flights,bigdansing,gb,0.9243697478991597
flights,holistic,rf,0.8718487394957983
flights,holistic,lr,0.6050420168067226
flights,holistic,svm,0.5630252100840336
flights,holistic,knn,0.6029411764705882
flights,holistic,dt,0.8445378151260504
flights,holistic,gb,0.8634453781512605
flights,holoclean,rf,0.4852941176470588
flights,holoclean,lr,0.49369747899159666
flights,holoclean,svm,0.3949579831932773
flights,holoclean,knn,0.4180672268907563
flights,holoclean,dt,0.38445378151260506
flights,holoclean,gb,0.49369747899159666
flights,horizon,rf,0.8634453781512605
flights,horizon,lr,0.5273109243697479
flights,horizon,svm,0.5714285714285714
flights,horizon,knn,0.6911764705882353
flights,horizon,dt,0.8151260504201681
flights,horizon,gb,0.8907563025210085
flights,uniclean,rf,1.0
flights,uniclean,lr,0.6428571428571429
flights,uniclean,svm,0.6764705882352942
flights,uniclean,knn,0.792016806722689
flights,uniclean,dt,0.907563025210084
flights,uniclean,gb,1.0
flights,LLM,rf,1.0
flights,LLM,lr,0.5399159663865546
flights,LLM,svm,0.6323529411764706
flights,LLM,knn,0.7163865546218487
flights,LLM,dt,0.9915966386554622
flights,LLM,gb,1.0
flights,DemandClean,rf,1.0
flights,DemandClean,lr,0.4265
flights,DemandClean,svm,0.6092
flights,DemandClean,knn,0.75
flights,DemandClean,dt,0.9958
flights,DemandClean,gb,0.9748
soccer,NoFix,rf,1.0
soccer,NoFix,lr,0.9495758718190387
soccer,NoFix,svm,0.9495758718190387
soccer,NoFix,knn,0.9495758718190387
soccer,NoFix,dt,0.9015080113100848
soccer,NoFix,gb,1.0
soccer,RepairAll,rf,1.0
soccer,RepairAll,lr,1.0
soccer,RepairAll,svm,1.0
soccer,RepairAll,knn,1.0
soccer,RepairAll,dt,1.0
soccer,RepairAll,gb,1.0
soccer,DeleteAll,rf,0.8557964184731386
soccer,DeleteAll,lr,0.8557964184731386
soccer,DeleteAll,svm,0.8557964184731386
soccer,DeleteAll,knn,0.8557964184731386
soccer,DeleteAll,dt,0.8557964184731386
soccer,DeleteAll,gb,0.8557964184731386
soccer,holoclean,rf,0.04806786050895382
soccer,holoclean,lr,
soccer,holoclean,svm,
soccer,holoclean,knn,0.04806786050895382
soccer,holoclean,dt,0.04806786050895382
soccer,holoclean,gb,
soccer,horizon,rf,0.9467483506126296
soccer,horizon,lr,0.8982092365692743
soccer,horizon,svm,0.9514608859566447
soccer,horizon,knn,0.9514608859566447
soccer,horizon,dt,0.8110273327049953
soccer,horizon,gb,1.0
soccer,LLM,rf,1.0
soccer,LLM,lr,1.0
soccer,LLM,svm,1.0
soccer,LLM,knn,0.9495758718190387
soccer,LLM,dt,0.9519321394910462
soccer,LLM,gb,1.0
soccer,DemandClean,rf,1.0
soccer,DemandClean,lr,1.0
soccer,DemandClean,svm,1.0
soccer,DemandClean,knn,1.0
soccer,DemandClean,dt,1.0
soccer,DemandClean,gb,1.0
hospitals,NoFix,rf,1.0
hospitals,NoFix,lr,0.97
hospitals,NoFix,svm,0.97
hospitals,NoFix,knn,0.815
hospitals,NoFix,dt,1.0
hospitals,NoFix,gb,1.0
hospitals,RepairAll,rf,0.995
hospitals,RepairAll,lr,0.975
hospitals,RepairAll,svm,0.97
hospitals,RepairAll,knn,0.785
hospitals,RepairAll,dt,1.0
hospitals,RepairAll,gb,1.0
hospitals,DeleteAll,rf,0.995
hospitals,DeleteAll,lr,0.965
hospitals,DeleteAll,svm,0.955
hospitals,DeleteAll,knn,0.815
hospitals,DeleteAll,dt,0.99
hospitals,DeleteAll,gb,1.0
hospitals,baran,rf,0.995
hospitals,baran,lr,0.975
hospitals,baran,svm,0.97
hospitals,baran,knn,0.82
hospitals,baran,dt,0.965
hospitals,baran,gb,0.99
hospitals,bigdansing,rf,0.995
hospitals,bigdansing,lr,0.975
hospitals,bigdansing,svm,0.975
hospitals,bigdansing,knn,0.775
hospitals,bigdansing,dt,0.97
hospitals,bigdansing,gb,0.99
hospitals,holistic,rf,0.975
hospitals,holistic,lr,0.975
