index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1395,719,"the Kimmie, the Yink and the Holy Gose",American Brown Ale,16.0,0.05,44.58470819799222,514.0,Wynkoop Brewing Company,York,WY
477,2607,"the Kimmie, the Yink and the Holy Gose",American Black Ale,16.0,0.068,46.990525532493265,24.0,Wynkoop Brewing Company,York,WY
1178,1666,"the Kimmie, the Yink and the Holy Gose",Hefeweizen,12.0,0.06,10.0,102.0,Wynkoop Brewing Company,York,MN
1090,2199,"the Kimmie, the Yink and the Holy Gose",American IPA,16.0,0.07,75.0,80.0,Wynkoop Brewing Company,York,WY
1172,59,"the Kimmie, the Yink and the Holy Gose",American Brown Ale,12.0,0.05752653475427378,42.47889141826363,84.0,Wynkoop Brewing Company,York,WY
1001,2339,"the Kimmie, the Yink and the Holy Gose",Altbier,12.0,0.063,43.0,144.0,Wynkoop Brewing Company,York,WY
1877,512,"the Kimmie, the Yink and the Holy Gose",Pumpkin Ale,16.0,0.06,48.0,46.0,Wynkoop Brewing Company,York,WY
1383,337,"the Kimmie, the Yink and the Holy Gose",English Brown Ale,24.0,0.06,31.197997040128747,547.0,Wynkoop Brewing Company,York,WY
608,1695,"the Kimmie, the Yink and the Holy Gose",American Pale Ale (APA),12.0,0.063,48.29186118738224,141.0,Wynkoop Brewing Company,York,WY
416,2091,"the Kimmie, the Yink and the Holy Gose",Belgian Dark Ale,16.0,0.062,58.95214831048773,10.0,Wynkoop Brewing Company,York,WY
274,1413,"the Kimmie, the Yink and the Holy Gose",American Pale Ale (APA),12.0,0.063,39.336430347859206,407.0,Wynkoop Brewing Company,York,WY
1294,958,"the Kimmie, the Yink and the Holy Gose",Light Lager,12.0,0.05,34.02340635463187,299.0,Wynkoop Brewing Company,York,WY
781,1451,"the Kimmie, the Yink and the Holy Gose",American IPA,16.0,0.07,70.0,405.0,Wynkoop Brewing Company,York,WY
2196,948,"the Kimmie, the Yink and the Holy Gose",Czech Pilsener,16.0,0.045,35.0,17.00000000000003,Wynkoop Brewing Company,York,WY
251,643,"the Kimmie, the Yink and the Holy Gose",Czech Pilsener,12.0,0.05,32.0,519.0,Wynkoop Brewing Company,York,WY
414,2101,"the Kimmie, the Yink and the Holy Gose",Rauchbier,16.0,0.051,32.64524450119208,10.0,Wynkoop Brewing Company,York,WY
1547,1528,"the Kimmie, the Yink and the Holy Gose",American Pale Lager,16.0,0.07,43.75624397616073,390.0,Wynkoop Brewing Company,York,WY
2112,765,"the Kimmie, the Yink and the Holy Gose",Milk / Sweet Stout,16.0,0.05,20.000000000000004,44.99999999999997,Wynkoop Brewing Company,York,WY
1502,1226,"the Kimmie, the Yink and the Holy Gose",American Pale Ale (APA),16.0,0.06,42.0,450.0,Wynkoop Brewing Company,York,WY
311,1547,"the Kimmie, the Yink and the Holy Gose",American Pale Ale (APA),12.0,0.059,60.0,382.0,Wynkoop Brewing Company,York,WY
2115,537,"the Kimmie, the Yink and the Holy Gose",Tripel,16.0,0.085,32.972037528652216,44.99999999999997,Wynkoop Brewing Company,York,WY
894,1698,"the Kimmie, the Yink and the Holy Gose",American IPA,16.0,0.08,70.0,240.0,Wynkoop Brewing Company,York,WY
2366,430,"the Kimmie, the Yink and the Holy Gose",American Double / Imperial IPA,12.0,0.082,100.0,361.0,Wynkoop Brewing Company,York,WY
426,1958,"the Kimmie, the Yink and the Holy Gose",Witbier,16.0,0.05,58.89624043850715,10.0,Wynkoop Brewing Company,York,WY
2335,2439,"the Kimmie, the Yink and the Holy Gose",Herbed / Spiced Beer,12.0,0.09,39.762596129356936,100.0,Wynkoop Brewing Company,York,WY
16,2318,"the Kimmie, the Yink and the Holy Gose",Cider,12.0,0.06,68.64253122049286,154.0,Wynkoop Brewing Company,York,WY
2174,2421,"the Kimmie, the Yink and the Holy Gose",Fruit / Vegetable Beer,12.0,0.05,11.0,108.00000000000001,Wynkoop Brewing Company,York,WY
722,1201,"the Kimmie, the Yink and the Holy Gose",American Pale Ale (APA),12.0,0.052,26.0,237.0,Wynkoop Brewing Company,York,WY
1903,1123,"the Kimmie, the Yink and the Holy Gose",Munich Helles Lager,12.0,0.049,18.0,371.0,Wynkoop Brewing Company,York,WY
2111,912,"the Kimmie, the Yink and the Holy Gose",Extra Special / Strong Bitter (ESB),16.0,0.072,93.0,44.99999999999997,Wynkoop Brewing Company,York,WY
982,2313,"the Kimmie, the Yink and the Holy Gose",American Black Ale,12.0,0.067,71.0,156.0,Wynkoop Brewing Company,York,WY
349,998,"the Kimmie, the Yink and the Holy Gose",American Porter,16.0,0.061,35.1146115265389,107.0,Wynkoop Brewing Company,York,WY
2047,1599,"the Kimmie, the Yink and the Holy Gose",Extra Special / Strong Bitter (ESB),16.0,0.07,55.0,25.0,Wynkoop Brewing Company,York,WY
1997,2270,"the Kimmie, the Yink and the Holy Gose",American Pale Ale (APA),12.0,0.054,33.0,131.0,Wynkoop Brewing Company,York,WY
2313,1770,"the Kimmie, the Yink and the Holy Gose",Tripel,12.0,0.092,25.0,322.0,Wynkoop Brewing Company,York,WY
527,2066,"the Kimmie, the Yink and the Holy Gose",American IPA,12.0,0.06,64.0,230.0,Wynkoop Brewing Company,York,WY
1809,1683,"the Kimmie, the Yink and the Holy Gose",American Brown Ale,12.0,0.05,53.81263912474854,252.0,Wynkoop Brewing Company,York,WY
364,1143,"the Kimmie, the Yink and the Holy Gose",Vienna Lager,12.0,0.049,30.0,300.0,Wynkoop Brewing Company,York,WY
1271,1672,"the Kimmie, the Yink and the Holy Gose",American Blonde Ale,12.0,0.06,25.0,346.0,Wynkoop Brewing Company,York,WY
183,2593,"the Kimmie, the Yink and the Holy Gose",American IPA,12.0,0.07,45.20141230667103,34.0,Wynkoop Brewing Company,York,WY
986,1505,"the Kimmie, the Yink and the Holy Gose",American Pale Ale (APA),12.0,0.06,54.0,379.0,Wynkoop Brewing Company,York,WY
1702,339,"the Kimmie, the Yink and the Holy Gose",American Amber / Red Ale,12.0,0.058,27.0,487.0,Wynkoop Brewing Company,York,WY
171,705,"the Kimmie, the Yink and the Holy Gose",American IPA,12.0,0.067,36.0725512630552,360.0,Wynkoop Brewing Company,York,WY
2058,923,"the Kimmie, the Yink and the Holy Gose",Quadrupel (Quad),16.0,0.09,24.0,25.0,Wynkoop Brewing Company,York,WY
1062,1605,"the Kimmie, the Yink and the Holy Gose",American Strong Ale,12.0,0.08,60.0,198.0,Wynkoop Brewing Company,York,WY
2385,2146,Shipyard Export,American IPA,12.0,0.048,38.0,211.0,Wynkoop Brewing Company,York,WY
