index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
416,2091,Mela,Belgian Dark Ale,16.0,0.062,57.56974172568784,10.0,Brewery Vivant,Grand Rapids,MI
2112,765,Buffalo Sweat,Milk / Sweet Stout,16.0,0.05,20.000000000000004,44.99999999999997,Tallgrass Brewing Company,Manhattan,KS
2047,1599,Royal Brat,Extra Special / Strong Bitter (ESB),16.0,0.07,55.0,25.0,Sun King Brewing Company,Indianapolis,IN
2313,1770,Voodoo Love Child,Tripel,12.0,0.092,25.0,322.0,Voodoo Brewery,Meadville,PA
1702,339,Copper Hook (2011),American Amber / Red Ale,12.0,0.058,27.0,487.0,Redhook Brewery,Woodinville,WA
2058,923,The Velvet Fog,Quadrupel (Quad),16.0,0.09,24.0,25.0,Sun King Brewing Company,Indianapolis,IN
2385,2146,#004 Session I.P.A.,American IPA,12.0,0.048,38.0,211.0,Wisconsin Brewing Company,Verona,WI
188,1018,Sculpin IPA,American IPA,12.0,0.07,70.0,34.0,Ballast Point Brewing Company,San Diego,CA
159,342,Peacemaker,American Pale Ale (APA),12.0,0.051,34.03283698317953,413.0,Austin Beerworks,Austin,TX
273,1441,Blown Out Brown,American Brown Ale,12.0,0.052,35.68322937330245,407.0,Bitter Root Brewing,Hamilton,MT
615,1141,Jai Alai IPA Aged on White Oak,American IPA,12.0,0.075,70.0,141.0,Cigar City Brewing Company,Tampa,FL
1969,2486,Baby Daddy Session IPA,American IPA,12.0,0.047,35.0,78.0,Speakasy Ales & Lagers,San Francisco,CA
2214,2445,Troegenator,Doppelbock,16.0,0.082,48.01333076890454,97.0,Tr?egs Brewing Company,Hershey,PA
2070,54,Osiris Pale Ale (2010),American Pale Ale (APA),16.0,0.06,50.0,25.0,Sun King Brewing Company,Indianapolis,IN
866,1208,Twisted Helles Summer Lager,Munich Helles Lager,12.0,0.055,18.0,253.0,Frankenmuth Brewery,Frankenmuth,MI
2121,101,Tallgrass IPA,American IPA,16.0,0.063,60.0,44.99999999999997,Tallgrass Brewing Company,Manhattan,KS
1248,1816,LIFT,K?lsch,12.0,0.047,11.0,91.0,Madtree Brewing Company,Cincinnati,OH
2331,2450,Self Starter,American IPA,16.0,0.052,67.0,94.0,Warped Wing Brewing Company,Dayton,OH
73,2683,A Beer,American Pale Ale (APA),16.0,0.042,42.0,1.0,Against the Grain Brewery,Louisville,KY
2317,1603,Good Vibes IPA,American IPA,12.0,0.073,85.0,322.0,Voodoo Brewery,Meadville,PA
1515,2071,London Homesick Ale,English Bitter,12.0,0.049,27.0,184.0,Oasis Texas Brewing Company,Austin,TX
1188,1741,A Slice of Hefen,Hefeweizen,16.0,0.054,15.000000000000004,332.0,La Cumbre Brewing Company,Albuquerque NM,IA
149,979,Poop Deck Porter,American Porter,12.0,0.062,35.0,374.0,Astoria Brewing Company,Astoria,OR
1310,313,Mana Wheat,American Pale Wheat Ale,12.0,0.055,15.000000000000004,375.0,Maui Brewing Company,Lahaina,HI
1563,993,oSKAr the G'Rauch,American IPA,19.2,0.085,31.39179223045243,166.0,Oskar Blues Brewery,Longmont,CO
906,2587,Vanilla Porter,American Porter,16.0,0.07,11.0,39.0,Gonzo's BiggDogg Brewing,Kalamazoo,MI
1338,2666,Jucundus,Wheat Ale,16.0,0.06,24.0,3.0000000000000284,Mike Hess Brewing Company,San Diego,CA
