Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: Clump Thickness, MSE: nan, Jaccard: 0.5565553951039834
Attribute: Uniformity of Cell Size, MSE: 0.4479117305590344, Jaccard: 0.4512129883204661
Attribute: Uniformity of Cell Shape, MSE: 0.2585538120555584, Jaccard: 0.44669119209340535
Attribute: Marginal Adhesion, MSE: nan, Jaccard: 0.29334732427527554
Attribute: Single Epithelial Cell Size, MSE: 0.23619283884438982, Jaccard: 0.4300344147875065
Attribute: Bare Nuclei, MSE: nan, Jaccard: 0.41969206284467275
Attribute: Bland Chromatin, MSE: 0.5466837983421279, Jaccard: 0.5601843896397931
Attribute: Normal Nucleoli, MSE: nan, Jaccard: 0.42424903723541596
Attribute: Mitoses, MSE: 0.17493630747462194, Jaccard: 0.3861469546826358
Attribute: class, MSE: nan, Jaccard: 0.046163793103448314
加权混合距离: 0.25811618360737887
