abv,ibu,is_ipa
0.061,50.0,0
0.099,53.07679750123226,0
0.079,58.0,0
0.044,33.0,0
0.049,17.0,0
0.049,17.0,0
0.049,17.0,0
0.07,22.0,1
0.07,70.0,1
0.07,70.0,1
0.085,13.919641101978044,0
0.097,94.0,1
0.044,94.68487531482066,0
0.079,48.0,0
0.068,33.39250512443975,0
0.083,0.0,0
0.07,26.509125673496264,1
0.049,17.0,0
0.07,82.0,1
0.035,11.0,0
0.045,18.0,0
0.05,10.632704571465336,0
0.05,40.0,1
0.069,14.4335678496601,1
0.09,28.861951243749637,0
0.046,15.0,0
0.052,18.0,0
0.059,75.0,1
0.054,15.5767739078758,0
0.054,30.0,0
0.084,82.0,1
0.055,26.0,0
0.055,70.61335942504827,0
0.065,103.52651768793335,1
0.042,13.0,0
0.045,17.0,0
0.082,68.0,1
0.05,20.0,0
0.08,68.0,1
0.125,80.0,0
0.077,37.7575819859752,0
0.042,106.32172519501583,0
0.05,25.0,0
0.066,20.892078947903038,0
0.04,16.66715189819628,0
0.055,17.0,0
0.076,68.0,1
0.051,115.87891419771299,0
0.06,75.0,1
0.05,20.0,0
0.053,26.0,0
0.05,0.0,0
0.052,0.17577577596708238,0
0.04,20.0,0
0.053,0.0,0
0.082,153.34345983688092,1
0.053,97.74235959254949,0
0.053,18.0,0
0.062,53.12973907771778,1
0.057,0.0,0
0.056,0.0,0
0.07,80.0,1
0.058,0.0,0
0.057,0.0,0
0.055,25.0,0
0.058,15.0,0
0.056,4.0,0
0.057,,0
0.069,6.0,0
0.07,80.0,1
0.058,15.0,0
0.056,4.0,0
0.055,28.0,0
0.071,75.0,1
0.047,19.0,0
0.06,23.0,0
0.06,43.0,0
0.062,17.0,0
0.092,5.647946325220168,0
0.051,20.0,0
0.052,25.328082730824676,0
0.07,113.87444911248352,1
0.032,52.995387035856574,0
0.053,105.845649888386,0
0.06,69.0,1
0.056,27.0,0
0.07,67.0,1
0.057,0.0,0
0.082,45.0,1
0.062,79.38953598637559,0
0.06,68.15740440039573,0
0.075,90.03121948186805,1
0.055,12.0,0
0.045,25.0,0
0.05,0.0,1
0.05,12.0,0
0.047,45.0,0
0.056,45.06387404760072,0
0.063,60.0,1
0.055,17.0,0
0.062,17.0,0
0.072,22.0,0
0.048,23.0,0
0.092,5.0,0
0.061,0.0,0
0.06,95.14466382217535,0
0.068,70.0,1
0.044,98.62588057881234,0
0.038,28.0,1
0.052,19.485720695137367,0
0.07,79.99466966729345,1
0.07,70.0,1
0.045,20.0,0
0.035,33.0,0
0.07,40.0,1
0.06,45.0,1
0.049,22.0,0
0.067,109.57272818335514,1
0.068,104.29737429008685,0
0.05,33.771667113283456,0
0.051,55.0,0
0.054,0.0,0
0.067,68.02285084241123,1
0.05,28.0,0
0.054,117.28969759839218,0
0.07,103.75456795990506,0
0.055,0.0,0
0.049,28.0,0
0.069,12.0,1
0.088,108.0,1
0.05,10.0,0
0.058,78.07286490990467,0
0.068,74.0,1
0.048,16.0,0
0.044,93.34414479503945,1
0.057,75.0,0
0.072,,1
0.056,35.29601662029939,0
0.062,15.0,1
0.06,34.0,0
0.05,0.0,0
0.055,31.0,1
0.053,20.0,0
0.081,0.0,0
0.095,104.0,1
0.067,85.0,0
0.08,40.0,0
0.075,112.83854158142084,1
0.05,32.0,0
0.06,95.24036801245413,1
0.062,16.377688690227473,1
0.05,0.0,0
0.05,96.89292660723754,0
0.051,26.0,0
0.072,15.108809412816015,0
0.051,26.0,0
0.05,0.0,0
0.062,55.0,1
0.05,42.0,0
0.05,67.88471944778578,0
0.051,26.0,0
0.069,81.0,1
0.058,0.0,0
0.053,13.507648226966936,0
0.099,85.0,0
0.098,76.0,1
0.055,0.0,0
0.066,8.448595466636284,1
0.055,1.0559963982554095,0
0.072,75.0,0
0.045,16.0,0
0.075,82.96562312339356,1
0.05,8.0,0
0.058,91.98006100950262,0
0.071,83.0,0
0.071,0.0,0
0.078,35.0,0
0.066,40.0,0
0.048,0.0,0
0.046,20.0,0
0.048,5.8058128465663685,1
0.06,30.0,0
0.07,24.007003615543663,1
0.056,0.0,0
0.056,40.0,0
0.056,0.0,0
0.046,0.0,0
0.08,37.98183275255468,1
0.059,106.96695642705774,0
0.065,30.0,0
0.053,22.0,0
0.059,15.289510248871274,0
0.049,19.475016168713736,0
0.06,45.0,1
0.044,0.0,0
0.055,28.0,0
0.042,30.0,1
0.04,20.0,0
0.045,27.0,0
0.066,72.0,1
0.075,22.0,0
0.048,30.0,0
0.056,23.0,0
0.07,105.479212025607,1
0.048,40.0,0
0.053,0.0,0
0.066,16.0,1
0.071,16.0,0
0.045,8.0,0
0.065,82.77434754556043,1
0.049,30.0,0
0.049,0.0,0
0.053,15.0,0
0.053,0.0,0
0.049,41.21550297537418,0
0.049,25.0,0
0.057,45.0,0
0.049,42.0,0
