dataset,version,task_type,model,P_clean,P_dirty,P_dc,tolerance_prior,tolerance_post
adult,v3,classification,rf,0.8550580431177446,0.8550580431177446,0.8550580431177446,1.0,1.0
adult,v3,classification,lr,0.8211166390270868,0.8211166390270868,0.8211166390270868,1.0,1.0
adult,v5,classification,rf,0.8525889073152755,0.8525889073152755,0.8525889073152755,1.0,1.0
adult,v5,classification,lr,0.8186843559977889,0.8186843559977889,0.8186843559977889,1.0,1.0
adult,v6,classification,rf,0.8550580431177446,0.8550580431177446,0.8550580431177446,1.0,1.0
adult,v6,classification,lr,0.8211166390270868,0.8211166390270868,0.8211166390270868,1.0,1.0
adult,v7,classification,rf,0.8525889073152755,0.8525889073152755,0.8525889073152755,1.0,1.0
adult,v7,classification,lr,0.8186843559977889,0.8186843559977889,0.8186843559977889,1.0,1.0
adult,v8,classification,rf,0.8550580431177446,0.8550580431177446,0.8550580431177446,1.0,1.0
adult,v8,classification,lr,0.8211166390270868,0.8211166390270868,0.8211166390270868,1.0,1.0
beers,v3,classification,rf,0.3333333333333333,0.28125,0.08333333333333333,0.2962962962962963,-3.8000000000000016
beers,v3,classification,lr,0.19791666666666666,0.1840277777777778,0.14583333333333334,0.7924528301886793,-2.7500000000000044
beers,v5,classification,rf,0.3333333333333333,0.28125,0.09027777777777778,0.32098765432098764,-3.666666666666668
beers,v5,classification,lr,0.19791666666666666,0.1840277777777778,0.1701388888888889,0.9245283018867925,-1.000000000000002
beers,v6,classification,rf,0.3775933609958506,0.34647302904564314,0.08921161825726141,0.2574850299401198,-8.266666666666666
beers,v6,classification,lr,0.2053941908713693,0.1970954356846473,0.14315352697095435,0.7263157894736841,-6.500000000000002
beers,v7,classification,rf,0.3775933609958506,0.34647302904564314,0.07468879668049792,0.2155688622754491,-8.733333333333333
beers,v7,classification,lr,0.2053941908713693,0.1970954356846473,0.11410788381742738,0.5789473684210527,-10.000000000000002
beers,v8,classification,rf,0.3775933609958506,0.34647302904564314,0.058091286307053944,0.16766467065868265,-9.266666666666666
beers,v8,classification,lr,0.2053941908713693,0.1970954356846473,0.16804979253112035,0.8526315789473685,-3.4999999999999982
bike,v3,regression,rf,0.999751079259228,0.9966568486336325,-0.018600419572326166,-0.01866281217836051,-328.11299190426394
bike,v3,regression,ridge,0.9999999851832395,0.8565091903444065,0.40558321690202925,0.4735304903604622,-3.1425428645011797
bike,v5,regression,rf,0.9997196621754424,0.9967161167382452,-0.2108985835198769,-0.2115934316483642,-402.06307029769425
bike,v5,regression,ridge,0.999999941422777,0.856067094108071,-0.05163253804814283,-0.0603136581273905,-6.306410587234119
bike,v6,regression,rf,0.999751079259228,0.9966568486336325,-0.29950766523774686,-0.30051232342240675,-418.8971898699066
bike,v6,regression,ridge,0.9999999851832395,0.8565091903444065,-0.19715260942298296,-0.23018154579719913,-7.343061977953701
bike,v7,regression,rf,0.9997196621754424,0.9967161167382452,-0.1870240543984052,-0.18764024305179458,-394.1142878934731
bike,v7,regression,ridge,0.999999941422777,0.856067094108071,-0.01429490985109183,-0.016698352207995537,-6.047000529741036
bike,v8,regression,rf,0.999751079259228,0.9966568486336325,0.9966568486336325,1.0,0.0
bike,v8,regression,ridge,0.9999999851832395,0.8565091903444065,0.8565091903444065,1.0,0.0
breast_cancer,v3,classification,rf,1.0,1.0,1.0,1.0,1.0
breast_cancer,v3,classification,lr,1.0,0.9880952380952381,1.0,1.0120481927710843,1.0
breast_cancer,v5,classification,rf,1.0,1.0,0.6785714285714286,0.6785714285714286,1.0
breast_cancer,v5,classification,lr,1.0,0.9880952380952381,0.7142857142857143,0.7228915662650602,-23.000000000000085
breast_cancer,v6,classification,rf,0.9642857142857143,0.9714285714285714,0.9714285714285714,1.0,-0.0
breast_cancer,v6,classification,lr,0.9571428571428572,0.9214285714285714,0.9214285714285714,1.0,0.0
breast_cancer,v7,classification,rf,0.9785714285714285,0.9714285714285714,0.9785714285714285,1.0073529411764706,1.0
breast_cancer,v7,classification,lr,0.9642857142857143,0.95,0.9714285714285714,1.0225563909774436,1.4999999999999962
breast_cancer,v8,classification,rf,0.9785714285714285,0.9714285714285714,0.9714285714285714,1.0,0.0
breast_cancer,v8,classification,lr,0.9642857142857143,0.95,0.95,1.0,0.0
har,v3,clustering,kmeans,0.9089880051537449,0.5105479451261414,0.7553152871240958,1.479420873856381,0.6143140877475953
har,v5,clustering,kmeans,0.9089880051537449,0.5105479451261414,0.8709183389921054,1.7058502483580205,0.9044532164787795
har,v6,clustering,kmeans,0.9089880051537449,0.5105479451261414,0.8709183389921054,1.7058502483580205,0.9044532164787795
har,v7,clustering,kmeans,0.908115002974492,0.5083407341202025,0.8556016773397629,1.6831263361583115,0.8686425572480523
har,v8,clustering,kmeans,0.908115002974492,0.5083407341202025,0.6683874133163822,1.3148413425360772,0.40034262248757635
mercedes,v3,regression,rf,0.4769097734262032,0.4964578944275001,0.4769097734262032,0.9606248158792214,1.0
mercedes,v3,regression,ridge,0.5534886411235009,0.4867459902430401,0.5534886411235009,1.1371200836130877,1.0
mercedes,v5,regression,rf,0.4461949095791533,0.4249634290338258,-0.12899895894087732,-0.3035530827538795,-26.091557147512027
mercedes,v5,regression,ridge,0.43971538423191525,0.4394955159155127,-1.4729480291501211,-3.3514517800752173,-8698.131574193705
mercedes,v6,regression,rf,0.4769097734262032,0.4964578944275001,-0.23985899658370013,-0.4831406636413711,37.66688833992539
mercedes,v6,regression,ridge,0.5534886411235009,0.4867459902430401,-0.15785934231801657,-0.3243156502207545,-9.658072073217088
