Baseline,Dataset,时间（单位 s）,传统清洗的F1值,r_edr,hybrid_distance,edr,col_avg_rmse,col_avg_f1,P_do_nothing,P_demand_clean,P_repair_all,upper_bound_dirty,upper_bound_cleaned,upper_bound_clean,upper_bound_improvement,真值使用单元格数,ML_1,ML_2,ML_3,ML_4,ML_5,ML_6
Demandclean_ngt,adult,15739.45,0.0059089102320267,-25.84179104477612,0.2448309853375952,-165.72935323383084,,,0.8518518518518519,0.8473189607517966,0.8564953012714207,0.8143957962029418,0.8603572343774367,0.8499982307137097,1.29096335141334,0,"RF
    accuracy       : 0.847319
    f1             : 0.847615
    precision      : 0.847930
    recall         : 0.847319","LR
    accuracy       : 0.814815
    f1             : 0.810621
    precision      : 0.808301
    recall         : 0.814815","SVM
    accuracy       : 0.844334
    f1             : 0.840516
    precision      : 0.839044
    recall         : 0.844334","KNN
    accuracy       : 0.818574
    f1             : 0.819807
    precision      : 0.821251
    recall         : 0.818574","DT
    accuracy       : 0.801658
    f1             : 0.806820
    precision      : 0.815586
    recall         : 0.801658","GB
    accuracy       : 0.859923
    f1             : 0.858321
    precision      : 0.857291
    recall         : 0.859923"
Demandclean_v3,adult,5643.33,0.5635891731121769,-0.3656672545561434,0.0085768752826641,-0.3838918283362728,,,0.8505086245024326,0.8551525873507297,0.8542680229986731,0.8184291476911966,0.8525497775264423,0.8523286315486308,1.0065235794958287,0,"RF
    accuracy       : 0.855721
    f1             : 0.852448
    precision      : 0.851072
    recall         : 0.855721","LR
    accuracy       : 0.821448
    f1             : 0.807130
    precision      : 0.809692
    recall         : 0.821448","SVM
    accuracy       : 0.849198
    f1             : 0.841323
    precision      : 0.842098
    recall         : 0.849198","KNN
    accuracy       : 0.827529
    f1             : 0.824701
    precision      : 0.822827
    recall         : 0.827529","DT
    accuracy       : 0.806302
    f1             : 0.808122
    precision      : 0.810297
    recall         : 0.806302","GB
    accuracy       : 0.866003
    f1             : 0.859670
    precision      : 0.860911
    recall         : 0.866003"
Demandclean_v5,adult,13372.45,0.0002139634942334,-25.342718446601943,0.2439463672238861,-162.31747572815533,,,0.8518518518518519,0.8527363184079602,0.8564953012714207,0.8143957962029418,0.8126267408367779,0.8499982307137097,-0.0496891684648376,857,"RF
    accuracy       : 0.852736
    f1             : 0.851207
    precision      : 0.850144
    recall         : 0.852736","LR
    accuracy       : 0.820564
    f1             : 0.808738
    precision      : 0.810018
    recall         : 0.820564","SVM
    accuracy       : 0.848203
    f1             : 0.841487
    precision      : 0.841772
    recall         : 0.848203","KNN
    accuracy       : 0.818795
    f1             : 0.817836
    precision      : 0.816992
    recall         : 0.818795","DT
    accuracy       : 0.772471
    f1             : 0.779542
    precision      : 0.791764
    recall         : 0.772471","GB
    accuracy       : 0.868988
    f1             : 0.864863
    precision      : 0.864703
    recall         : 0.868988"
Demandclean_v6,adult,21499.78,0.5045358038547564,-0.4861845972957084,0.008957019995301,-0.5091122868900647,,,0.8505086245024326,0.8532728881026095,0.8542680229986731,0.8184291476911966,0.8449648020157701,0.8523286315486308,0.782774582532594,7176,"RF
    accuracy       : 0.852736
    f1             : 0.849682
    precision      : 0.848217
    recall         : 0.852736","LR
    accuracy       : 0.821669
    f1             : 0.807656
    precision      : 0.809951
    recall         : 0.821669","SVM
    accuracy       : 0.849972
    f1             : 0.842154
    precision      : 0.842973
    recall         : 0.849972","KNN
    accuracy       : 0.824986
    f1             : 0.822594
    precision      : 0.820871
    recall         : 0.824986","DT
    accuracy       : 0.801658
    f1             : 0.804229
    precision      : 0.807490
    recall         : 0.801658","GB
    accuracy       : 0.867551
    f1             : 0.861291
    precision      : 0.862638
    recall         : 0.867551"
Demandclean_v7,adult,22406.98,0.0035127485465128,-25.342718446601943,0.243223616666034,-162.04563106796115,,,0.8518518518518519,0.8528468767274737,0.8564953012714207,0.8143957962029418,0.8262636592467348,0.8499982307137097,0.3333441436484807,1634,"RF
    accuracy       : 0.852847
    f1             : 0.850924
    precision      : 0.849728
    recall         : 0.852847","LR
    accuracy       : 0.819900
    f1             : 0.807554
    precision      : 0.809215
    recall         : 0.819900","SVM
    accuracy       : 0.848314
    f1             : 0.841332
    precision      : 0.841871
    recall         : 0.848314","KNN
    accuracy       : 0.821559
    f1             : 0.820046
    precision      : 0.818826
    recall         : 0.821559","DT
    accuracy       : 0.785959
    f1             : 0.790036
    precision      : 0.795836
    recall         : 0.785959","GB
    accuracy       : 0.868988
    f1             : 0.864331
    precision      : 0.864632
    recall         : 0.868988"
Demandclean_v8,adult,5615.7,0.0,-1.216931216931217,0.0110856797721744,-1.2774838330393885,,,0.8505086245024326,0.8505086245024326,0.8542680229986731,0.8184291476911966,0.8184291476911966,0.8523286315486308,0.0,0,"RF
    accuracy       : 0.849420
    f1             : 0.847322
    precision      : 0.845963
    recall         : 0.849420","LR
    accuracy       : 0.822222
    f1             : 0.809256
    precision      : 0.810640
    recall         : 0.822222","SVM
    accuracy       : 0.849088
    f1             : 0.841905
    precision      : 0.842037
    recall         : 0.849088","KNN
    accuracy       : 0.819016
    f1             : 0.818030
    precision      : 0.817155
    recall         : 0.819016","DT
    accuracy       : 0.768601
    f1             : 0.775452
    precision      : 0.786262
    recall         : 0.768601","GB
    accuracy       : 0.866335
    f1             : 0.860789
    precision      : 0.861221
    recall         : 0.866335"
activeclean,adult,5.37,0.028708133971291867,1.0,0.0026720229978255262,0.014563106796116505,0.027630330114493108,1.0,0.8518518518518519,0.8525152017689331,0.8564953012714207,0.8185176041264022,0.8188935073025456,0.852085376351815,0.011198335523108153,500,"RF
    accuracy       : 0.852515
    f1             : 0.850865
    precision      : 0.849753
    recall         : 0.852515","LR
    accuracy       : 0.820343
    f1             : 0.808673
    precision      : 0.809771
    recall         : 0.820343","SVM
    accuracy       : 0.848203
    f1             : 0.841456
    precision      : 0.841769
    recall         : 0.848203","KNN
    accuracy       : 0.820453
    f1             : 0.819680
    precision      : 0.818985
    recall         : 0.820453","DT
    accuracy       : 0.774240
    f1             : 0.780629
    precision      : 0.791151
    recall         : 0.774240","GB
    accuracy       : 0.868436
    f1             : 0.864054
    precision      : 0.864064
    recall         : 0.868436"
boostclean,adult,5.92,0,0,0.002711511022423933,0.0,0.02783374633387081,1.0,0.8518518518518519,0.8518518518518519,0.8564953012714207,0.8185176041264022,0.8185176041264022,0.852085376351815,0.0,45222,"RF
    accuracy       : 0.851852
    f1             : 0.850218
    precision      : 0.849107
    recall         : 0.851852","LR
    accuracy       : 0.820343
    f1             : 0.808758
    precision      : 0.809779
    recall         : 0.820343","SVM
    accuracy       : 0.848425
    f1             : 0.841781
    precision      : 0.842025
    recall         : 0.848425","KNN
    accuracy       : 0.820011
    f1             : 0.819291
    precision      : 0.818638
    recall         : 0.820011","DT
    accuracy       : 0.774572
    f1             : 0.781346
    precision      : 0.792892
    recall         : 0.774572","GB
    accuracy       : 0.869431
    f1             : 0.865069
    precision      : 0.865134
    recall         : 0.869431"
ctxpipe,adult,N/A,0,0,0.002711511022423933,0.0,0.02783374633387081,1.0,0.8518518518518519,0.8518518518518519,0.8564953012714207,0.8185176041264022,0.8185176041264022,0.852085376351815,0.0,0,"RF
    accuracy       : 0.851852
    f1             : 0.850218
    precision      : 0.849107
    recall         : 0.851852","LR
    accuracy       : 0.820343
    f1             : 0.808758
    precision      : 0.809779
    recall         : 0.820343","SVM
    accuracy       : 0.848425
    f1             : 0.841781
    precision      : 0.842025
    recall         : 0.848425","KNN
    accuracy       : 0.820011
    f1             : 0.819291
    precision      : 0.818638
    recall         : 0.820011","DT
    accuracy       : 0.774572
    f1             : 0.781346
    precision      : 0.792892
    recall         : 0.774572","GB
    accuracy       : 0.869431
    f1             : 0.865069
    precision      : 0.865134
    recall         : 0.869431"
deleteall,adult,0.48,0,0,0.002711511022423933,0.0,0.02783374633387081,1.0,0.8518518518518519,0.8518518518518519,0.8564953012714207,0.8185176041264022,0.8185176041264022,0.852085376351815,0.0,0,"RF
    accuracy       : 0.851852
    f1             : 0.850218
    precision      : 0.849107
    recall         : 0.851852","LR
    accuracy       : 0.820343
    f1             : 0.808758
    precision      : 0.809779
    recall         : 0.820343","SVM
    accuracy       : 0.848425
    f1             : 0.841781
    precision      : 0.842025
    recall         : 0.848425","KNN
    accuracy       : 0.820011
    f1             : 0.819291
    precision      : 0.818638
    recall         : 0.820011","DT
    accuracy       : 0.774572
    f1             : 0.781346
    precision      : 0.792892
    recall         : 0.774572","GB
    accuracy       : 0.869431
    f1             : 0.865069
    precision      : 0.865134
    recall         : 0.869431"
donothing,adult,0.25,0,0,0.002711511022423933,0.0,0.02783374633387081,1.0,0.8518518518518519,0.8518518518518519,0.8564953012714207,0.8185176041264022,0.8185176041264022,0.852085376351815,0.0,0,"RF
    accuracy       : 0.851852
    f1             : 0.850218
    precision      : 0.849107
    recall         : 0.851852","LR
    accuracy       : 0.820343
    f1             : 0.808758
    precision      : 0.809779
    recall         : 0.820343","SVM
    accuracy       : 0.848425
    f1             : 0.841781
    precision      : 0.842025
    recall         : 0.848425","KNN
    accuracy       : 0.820011
    f1             : 0.819291
    precision      : 0.818638
    recall         : 0.820011","DT
    accuracy       : 0.774572
    f1             : 0.781346
    precision      : 0.792892
    recall         : 0.774572","GB
    accuracy       : 0.869431
    f1             : 0.865069
    precision      : 0.865134
    recall         : 0.869431"
holoclean,adult,46.26,0,0,0.002711511022423933,0.0,0.02783374633387081,1.0,0.8518518518518519,0.8518518518518519,0.8564953012714207,0.8185176041264022,0.8185176041264022,0.852085376351815,0.0,0,"RF
    accuracy       : 0.851852
    f1             : 0.850218
    precision      : 0.849107
    recall         : 0.851852","LR
    accuracy       : 0.820343
    f1             : 0.808758
    precision      : 0.809779
    recall         : 0.820343","SVM
    accuracy       : 0.848425
    f1             : 0.841781
    precision      : 0.842025
    recall         : 0.848425","KNN
    accuracy       : 0.820011
    f1             : 0.819291
    precision      : 0.818638
    recall         : 0.820011","DT
    accuracy       : 0.774572
    f1             : 0.781346
    precision      : 0.792892
    recall         : 0.774572","GB
    accuracy       : 0.869431
    f1             : 0.865069
    precision      : 0.865134
    recall         : 0.869431"
horizon,adult,195.39,0,0,0.002711511022423933,0.0,0.02783374633387081,1.0,0.8518518518518519,0.8518518518518519,0.8564953012714207,0.8185176041264022,0.8185176041264022,0.852085376351815,0.0,0,"RF
    accuracy       : 0.851852
    f1             : 0.850218
    precision      : 0.849107
    recall         : 0.851852","LR
    accuracy       : 0.820343
    f1             : 0.808758
    precision      : 0.809779
    recall         : 0.820343","SVM
    accuracy       : 0.848425
    f1             : 0.841781
    precision      : 0.842025
    recall         : 0.848425","KNN
    accuracy       : 0.820011
    f1             : 0.819291
    precision      : 0.818638
    recall         : 0.820011","DT
    accuracy       : 0.774572
    f1             : 0.781346
    precision      : 0.792892
    recall         : 0.774572","GB
    accuracy       : 0.869431
    f1             : 0.865069
    precision      : 0.865134
    recall         : 0.869431"
