dataset,method,detection_type,P,R,F1
adult,activeclean,inferred,1.0,0.0147,0.029
adult,boostclean,detector,0.0,0.0,0.0
adult,ctxpipe,inferred,0.0,0.0,0.0
adult,deleteall,inferred,0.0,0.0,0.0
adult,donothing,inferred,0.0,0.0,0.0
adult,holoclean,detector,0.0,0.0,0.0
adult,horizon,inferred,0.0,0.0,0.0
adult,lopster,detector,0.0,0.0,0.0
adult,mlimputer,inferred,0.0,0.0,0.0
adult,raha_baran,detector,0.0,0.0,0.0
adult,repairall,inferred,1.0,1.0,1.0
adult,simpleimputer,inferred,0.0,0.0,0.0
adult,uniclean,inferred,0.0,0.0,0.0
beers,activeclean,inferred,1.0,0.207,0.343
beers,boostclean,detector,0.0,0.0,0.0
beers,ctxpipe,inferred,0.1059,0.0378,0.0557
beers,deleteall,inferred,0.1252,0.8803,0.2192
beers,donothing,inferred,0.0,0.0,0.0
beers,holoclean,detector,0.0409,0.1632,0.0654
beers,horizon,inferred,0.5788,0.0634,0.1143
beers,lopster,detector,0.1924,0.992,0.3223
beers,mlimputer,inferred,0.1058,0.0378,0.0557
beers,raha_baran,detector,1.0,0.7192,0.8367
beers,repairall,inferred,1.0,1.0,1.0
beers,simpleimputer,inferred,0.1058,0.0378,0.0557
beers,uniclean,inferred,0.9967,0.992,0.9943
bike,activeclean,inferred,1.0,0.0305,0.0592
bike,boostclean,detector,0.0,0.0,0.0
bike,ctxpipe,inferred,0.0,0.0,0.0
bike,deleteall,inferred,0.0,0.0,0.0
bike,donothing,inferred,0.0,0.0,0.0
bike,holoclean,detector,0.9359,0.0158,0.031
bike,horizon,inferred,0.4245,0.2085,0.2796
bike,lopster,detector,0.2656,0.9448,0.4146
bike,mlimputer,inferred,0.0,0.0,0.0
bike,raha_baran,detector,0.6601,0.4151,0.5097
bike,repairall,inferred,1.0,1.0,1.0
bike,simpleimputer,inferred,0.0,0.0,0.0
bike,uniclean,inferred,0.6064,0.2102,0.3121
breast_cancer,activeclean,inferred,1.0,0.7214,0.8381
breast_cancer,boostclean,detector,0.0,0.0,0.0
breast_cancer,ctxpipe,inferred,1.0,0.3626,0.5322
breast_cancer,deleteall,inferred,0.0994,0.8942,0.179
breast_cancer,donothing,inferred,0.0,0.0,0.0
breast_cancer,holoclean,detector,1.0,0.4008,0.5722
breast_cancer,horizon,inferred,0.0714,0.0038,0.0072
breast_cancer,lopster,detector,0.1274,0.9561,0.2249
breast_cancer,mlimputer,inferred,0.9417,0.4008,0.5622
breast_cancer,raha_baran,detector,0.3066,0.4008,0.3474
breast_cancer,repairall,inferred,1.0,1.0,1.0
breast_cancer,simpleimputer,inferred,0.9417,0.4008,0.5622
breast_cancer,uniclean,inferred,1.0,0.0115,0.0226
har,activeclean,inferred,1.0,0.0068,0.0136
har,boostclean,detector,0.0,0.0,0.0
har,ctxpipe,inferred,0.9042,0.1605,0.2726
har,deleteall,inferred,0.1801,0.9998,0.3053
har,donothing,inferred,0.0,0.0,0.0
har,holoclean,detector,0.927,0.2159,0.3503
har,horizon,inferred,0.1773,0.3152,0.227
har,lopster,detector,0.498,0.9474,0.6528
har,mlimputer,inferred,0.927,0.2159,0.3503
har,raha_baran,detector,1.0,0.0003,0.0005
har,repairall,inferred,1.0,1.0,1.0
har,simpleimputer,inferred,0.927,0.2159,0.3503
har,uniclean,inferred,1.0,0.0001,0.0001
mercedes,activeclean,inferred,1.0,0.1187,0.2122
mercedes,boostclean,detector,0.0,0.0,0.0
mercedes,ctxpipe,inferred,1.0,0.0056,0.0111
mercedes,deleteall,inferred,0.4355,0.999,0.6065
mercedes,donothing,inferred,0.0,0.0,0.0
mercedes,holoclean,detector,1.0,0.0056,0.0111
mercedes,horizon,inferred,0.0,0.0,0.0
mercedes,lopster,detector,0.8772,1.0,0.9346
mercedes,mlimputer,inferred,1.0,0.0056,0.0111
mercedes,raha_baran,detector,0.9628,0.9033,0.9321
mercedes,repairall,inferred,1.0,1.0,1.0
mercedes,simpleimputer,inferred,1.0,0.0056,0.0111
mercedes,uniclean,inferred,0,0,0
nasa,activeclean,inferred,1.0,0.3352,0.502
nasa,boostclean,detector,0.0,0.0,0.0
nasa,ctxpipe,inferred,1.0,0.041,0.0788
nasa,deleteall,inferred,0.1139,0.9792,0.2041
nasa,donothing,inferred,0.0,0.0,0.0
nasa,holoclean,detector,1.0,0.041,0.0788
nasa,horizon,inferred,0.649,0.6047,0.6261
nasa,lopster,detector,0.0948,0.9863,0.1729
nasa,mlimputer,inferred,1.0,0.041,0.0788
nasa,raha_baran,detector,0.1545,0.2134,0.1792
nasa,repairall,inferred,1.0,1.0,1.0
nasa,simpleimputer,inferred,1.0,0.041,0.0788
nasa,uniclean,inferred,0.8333,0.7729,0.802
smartfactory,activeclean,inferred,1.0,0.0226,0.0441
smartfactory,boostclean,detector,0.0,0.0,0.0
smartfactory,ctxpipe,inferred,0.0,0.0,0.0
smartfactory,deleteall,inferred,0.0209,1.0,0.0409
smartfactory,donothing,inferred,0.0,0.0,0.0
smartfactory,holoclean,detector,1.0,0.9997,0.9999
smartfactory,horizon,inferred,0.0184,0.2925,0.0346
smartfactory,lopster,detector,0.0273,1.0,0.0532
smartfactory,mlimputer,inferred,1.0,1.0,1.0
smartfactory,raha_baran,detector,1.0,0.3361,0.5031
smartfactory,repairall,inferred,1.0,1.0,1.0
smartfactory,simpleimputer,inferred,1.0,1.0,1.0
smartfactory,uniclean,inferred,0.1502,0.281,0.1957
soilmoisture,activeclean,inferred,1.0,0.7382,0.8494
soilmoisture,boostclean,detector,0.0,0.0,0.0
soilmoisture,ctxpipe,inferred,0.0,0.0,0.0
soilmoisture,deleteall,inferred,0.299,0.9975,0.4601
soilmoisture,donothing,inferred,0.0,0.0,0.0
soilmoisture,holoclean,detector,1.0,0.0017,0.0034
soilmoisture,horizon,inferred,0.0,0.0,0.0
soilmoisture,lopster,detector,0.2993,0.9922,0.4599
soilmoisture,mlimputer,inferred,1.0,0.0077,0.0153
soilmoisture,raha_baran,detector,0.928,0.0312,0.0604
soilmoisture,repairall,inferred,1.0,1.0,1.0
soilmoisture,simpleimputer,inferred,1.0,0.0077,0.0153
soilmoisture,uniclean,inferred,0.0,0.0,0.0
