dataset,version,task_type,action_no_action,action_repair,action_delete,action_replace,error_missing,error_semantic,error_syntactic,error_label_noise,count_no_action,count_repair,count_delete,count_replace
adult,v3,classification,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1701
adult,v5,classification,-0.000416666666666667,-0.6834166666666667,-0.000916666666666649,0.004749999999999967,0,0,0,-0.68,2830,857,0,107
adult,v6,classification,-0.0010833333333333344,-0.8200833333333333,-0.0012500000000000011,0.047416666666666656,0,0,0,-0.775,0,0,0,0
adult,v7,classification,0.0,-0.81,0.0,0.0,0,0,0,-0.81,4329,1634,0,0
adult,v8,classification,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0
beers,v3,classification,0.07040229885057471,-0.08189655172413791,0.07040229885057471,-0.0589080459770115,0.25287356321839083,-0.0660919540229885,0,0.07183908045977012,386,0,1156,0
beers,v5,classification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,129,2511
beers,v6,classification,0.016180422551786252,0.030828762039940682,0.3572035396000662,0.025611837211715564,0.021881789214048805,-0.01034548155906912,-0.02616333881366141,0.3712446782175052,0,0,0,0
beers,v7,classification,0.01215277777777777,0.029513888888888885,0.2638888888888889,-0.0034722222222222307,0.08457111368420407,0.1064225999391396,0.020580306032329587,0.1425926470109934,639,0,1928,0
beers,v8,classification,-0.014352589001266902,-0.03060747903513934,0.38017549291276387,-0.074798758209691,0.14117597029622406,-0.02350789842556601,-0.01171627634602257,0.16488153780869788,0,0,0,0
bike,v3,regression,8.216330755867624,258.11260012904086,-52.31200279400466,22.23982238996248,0,91.87116726318565,147.77177124660926,0,0,37174,3383,0
bike,v5,regression,-155.52478641903542,515.3188428828656,219.17584231535122,181.84903962538257,0,157.4598527083395,721.5807881991838,0,1156,2089,376,23205
bike,v6,regression,-161.12126603831936,37.35168530634858,-1901.8238500774708,73.40376429664515,0,1254.428342561992,-1551.2961902353713,0,0,0,0,0
bike,v7,regression,198.8757634931425,443.0025525918881,318.36088105130125,265.03433329324434,0,301.63642593760835,998.1273423298055,0,3759,449,804,22111
bike,v8,regression,-33.58400293040296,-15.014947252747314,49.78834375624374,670.9523956376955,0,91.5560096903099,601.8350606393607,0,0,0,0,0
breast_cancer,v3,classification,0.0010040160642570313,0.011044176706827344,0.0010040160642570313,-0.0010040160642570313,0.0,1.850371707708594e-17,0.0,0.012048192771084357,224,104,0,0
breast_cancer,v5,classification,-0.08117221417405467,-0.7352983464309384,-0.26050063898440706,0.08901939236048458,-0.41205541779733257,-0.213043828434189,0.05343902436500838,-0.41629158536240257,16,41,62,213
breast_cancer,v6,classification,-0.0023980815347721673,0.0,-0.0023980815347721673,0.004796163069544335,-0.007146456747645376,0.010839154763146008,0.0010556771973725214,-0.004748375212873153,0,0,0,0
breast_cancer,v7,classification,-0.0017985611510791348,0.004196642685851321,-0.0029976019184652183,0.0005995203836930326,0.009592326139088744,0.0023980815347721673,-0.002398081534772223,-0.002398081534772186,0,0,0,510
breast_cancer,v8,classification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
har,v3,clustering,0.004323260304595002,0.005520341244811368,0.2279689587527861,-0.0022793125291668084,0.032194009480323076,0.08076203031752632,0.10204438147022443,0.0026194405113354005,0,5077,23201,6544
har,v5,clustering,-0.005408487845613523,0.01801710205039227,0.30086479724354537,0.0026355902970146747,0.026460154563944044,0.02026907336678488,0.26610689066187954,-0.004864286245905282,0,0,0,0
har,v6,clustering,-0.005408487845613523,0.01801710205039227,0.30086479724354537,0.0026355902970146747,0.026460154563944044,0.02026907336678488,0.26610689066187954,-0.004864286245905282,0,0,0,0
har,v7,clustering,0.021139724069621123,-0.05711667203207204,0.019366195131493985,0.057344526334505264,-0.016785987334597224,0,0.20221582469373497,0.08304375676866206,0,0,0,25556
har,v8,clustering,-0.0030119674335260618,0.03136982810581038,-0.041748017008224385,0.015148251578432886,0.008248575137516534,0,0.21492344586039502,0.0015640264244994873,0,0,0,0
