abv,ibu,is_ipa
0.052,16.0,0
0.06,18.0,0
0.087,85.0,1
0.068,75.0,1
0.058,58.0,0
0.069,67.0,1
0.071,95.0,0
0.079,45.0,0
0.051,26.0,0
0.039,16.0,0
0.065,65.0,0
0.052,19.0,0
0.05,30.0,0
0.072,70.0,1
0.075,60.0,1
0.095,49.0,0
0.07,24.0,0
0.062,65.0,1
0.077,65.0,1
0.048,15.0,0
0.039,20.0,0
0.078,80.0,1
0.05,32.0,0
0.053,18.0,0
0.048,15.0,0
0.057,47.0,0
0.082,100.0,1
0.063,57.0,0
0.052,15.0,0
0.063,100.0,1
0.044,22.0,0
0.056,36.0,0
0.05,15.0,0
0.07,80.0,1
0.052,16.0,0
0.082,68.0,1
0.099,43.0,0
0.057,10.0,0
0.052,17.0,0
0.07,22.0,0
0.068,66.0,1
0.07,51.0,1
0.052,18.0,0
0.07,45.0,1
0.05,20.0,0
0.054,30.0,0
0.065,75.0,1
0.066,75.0,1
0.055,35.0,0
0.087,29.0,0
0.042,22.0,0
0.05,29.0,0
0.07,100.0,1
0.076,65.0,1
0.04,55.0,1
0.062,72.0,1
0.064,75.0,1
0.065,75.0,1
0.048,19.0,0
0.058,60.0,0
0.066,20.0,0
0.06,25.0,0
0.08,120.0,1
0.055,40.0,1
0.055,40.0,0
0.072,80.0,0
0.096,85.0,1
0.051,24.0,0
0.055,16.0,0
0.046,24.0,0
0.052,23.0,0
0.056,35.0,0
0.08,22.0,0
0.067,70.0,1
0.05,14.0,0
0.05,22.0,0
0.062,70.0,1
0.055,42.0,0
0.05,10.0,0
0.065,65.0,0
0.08,70.0,0
0.039,9.0,0
0.052,20.0,0
0.052,28.0,0
0.05,12.0,0
0.053,27.0,0
0.07,70.0,1
0.042,18.0,0
0.073,82.0,1
0.05,18.0,0
0.053,20.0,0
0.055,20.0,0
0.06,54.0,0
0.055,23.0,0
0.099,100.0,0
0.053,11.0,0
0.075,85.0,0
0.057,25.0,0
0.05,28.0,0
0.069,34.0,0
0.099,100.0,1
0.05,28.0,0
0.082,138.0,1
0.055,30.0,0
0.053,22.0,0
0.08,80.0,1
0.039,20.0,0
0.056,33.0,0
0.045,23.0,0
0.065,80.0,1
0.04,13.0,0
0.072,75.0,1
0.039,20.0,0
0.07,70.0,1
0.06,75.0,0
0.052,23.0,0
0.08,35.0,0
0.057,20.0,0
0.06,50.0,0
0.09,60.0,1
0.056,25.0,0
0.08,100.0,1
0.057,42.0,0
0.06,34.0,0
0.042,24.0,0
0.058,21.0,0
0.075,75.0,1
0.046,17.0,0
0.056,50.0,0
0.071,27.0,0
0.05,24.0,0
0.045,18.0,0
0.054,37.0,0
0.05,20.0,0
0.044,42.0,0
0.06,24.0,0
0.055,25.0,0
0.06,30.0,0
0.056,55.0,0
0.051,36.0,0
0.039,20.0,0
0.066,50.0,1
0.065,82.0,1
0.049,20.0,0
0.066,100.0,1
0.05,17.0,0
0.047,25.0,0
0.059,60.0,1
0.05,35.0,1
0.055,60.0,0
0.054,30.0,0
0.052,17.0,0
0.054,36.0,0
0.05,12.0,0
0.056,55.0,0
0.065,65.0,0
0.056,4.0,0
0.054,23.0,0
0.062,65.0,1
0.09,30.0,0
0.07,73.0,1
0.078,74.0,1
0.042,26.0,0
0.051,31.0,0
0.065,65.0,0
0.065,35.0,0
0.054,32.0,0
0.057,58.0,0
0.049,21.0,0
0.049,30.0,0
0.055,50.0,0
0.045,15.0,0
0.05,15.0,0
0.055,34.0,0
0.065,44.0,1
0.055,60.0,0
0.075,63.0,1
0.068,65.0,0
0.083,35.0,0
0.052,9.0,0
0.049,13.0,0
0.085,115.0,1
0.055,17.0,0
0.063,100.0,1
0.053,14.0,0
0.042,13.0,0
0.058,28.0,0
0.065,47.0,0
0.072,86.0,1
0.095,19.0,0
0.063,69.0,1
0.045,28.0,0
0.056,35.0,0
0.053,36.0,0
0.09,30.0,0
0.087,80.0,1
0.056,26.0,0
0.049,17.0,0
0.06,52.0,0
0.051,38.0,0
0.058,18.0,0
0.057,13.0,0
0.048,9.0,0
0.063,61.0,1
0.08,72.0,0
0.05,40.0,0
0.055,45.0,1
0.052,23.0,0
0.099,85.0,0
0.072,93.0,0
0.07,100.0,1
0.044,38.0,0
0.065,65.0,0
0.054,30.0,0
0.065,45.0,0
0.063,50.0,0
0.042,35.0,0
0.055,40.0,0
0.054,48.0,0
0.069,20.0,0
0.067,60.0,1
0.069,81.0,1
0.055,18.0,0
0.06,20.0,0
0.063,30.0,0
0.06,64.0,1
0.054,42.0,0
0.072,100.0,1
0.066,44.0,0
0.055,25.0,0
0.057,15.0,0
0.072,75.0,0
0.056,12.0,0
0.07,46.0,1
0.042,10.0,0
0.055,31.0,0
0.05,21.0,0
0.066,75.0,1
0.05,32.0,0
0.091,91.0,1
0.051,20.0,0
0.052,40.0,0
0.048,47.0,1
0.045,8.0,0
0.064,66.0,1
0.07,22.0,0
0.055,28.0,0
0.045,50.0,1
0.067,60.0,1
0.057,44.0,0
0.084,90.0,0
0.05,35.0,0
0.057,23.0,0
0.04,37.0,0
0.075,70.0,1
0.05,45.0,1
0.053,30.0,0
0.095,104.0,1
0.049,15.0,0
0.044,5.0,0
0.039,20.0,0
0.067,45.0,1
0.07,32.0,0
0.082,103.0,1
0.057,10.0,0
0.045,15.0,0
0.057,19.0,0
0.061,30.0,0
0.05,15.0,0
0.051,45.0,0
0.08,69.0,0
0.09,118.0,1
0.067,70.0,1
0.052,16.0,0
0.057,30.0,0
0.057,27.0,0
0.039,20.0,0
0.078,60.0,0
0.042,20.0,0
0.058,45.0,1
0.056,11.0,0
0.052,24.0,0
0.043,60.0,1
0.064,95.0,1
0.048,35.0,0
0.058,60.0,0
0.042,9.0,0
0.05,29.0,0
0.065,65.0,1
0.085,86.0,1
0.065,80.0,0
0.051,26.0,0
0.087,85.0,1
0.055,20.0,0
0.045,18.0,0
0.052,50.0,0
0.068,65.0,1
0.052,18.0,0
0.053,11.0,0
0.058,60.0,0
0.052,18.0,0
0.072,65.0,1
0.049,22.0,0
0.054,27.0,0
0.052,67.0,1
0.05,16.0,0
0.062,62.0,1
0.06,15.0,0
0.08,31.0,0
0.069,69.0,1
0.099,51.0,0
0.065,80.0,1
0.059,25.0,0
0.055,35.0,0
0.065,80.0,0
0.05,14.0,0
0.082,25.0,0
0.065,70.0,1
0.05,50.0,0
0.065,70.0,1
0.065,35.0,0
0.047,19.0,0
0.069,69.0,1
0.055,25.0,0
0.045,15.0,0
0.089,126.0,1
0.055,40.0,0
0.075,65.0,0
0.088,77.0,1
0.07,70.0,1
0.052,18.0,0
0.049,25.0,0
0.047,9.0,0
0.08,70.0,1
0.051,26.0,0
0.075,24.0,0
0.042,13.0,0
0.054,33.0,0
0.045,17.0,0
0.052,21.0,0
0.058,60.0,0
0.073,55.0,0
0.055,45.0,0
0.058,35.0,0
0.056,55.0,0
0.072,65.0,1
0.044,16.0,0
0.069,20.0,0
0.06,40.0,0
0.098,76.0,1
0.047,28.0,0
0.065,32.0,0
0.06,29.0,0
0.058,15.0,0
0.062,65.0,1
0.07,58.0,0
0.075,72.0,1
0.077,40.0,0
0.05,40.0,0
0.078,34.0,0
0.065,52.0,1
0.068,100.0,1
0.056,27.0,0
0.058,27.0,0
0.04,5.0,0
0.081,17.0,0
0.061,64.0,1
0.071,92.0,1
0.069,65.0,1
0.051,20.0,0
0.057,27.0,0
0.071,75.0,1
0.079,18.0,0
0.065,90.0,1
0.042,10.0,0
0.037,21.0,0
0.048,23.0,0
0.062,45.0,1
0.08,80.0,0
0.056,33.0,0
0.046,30.0,0
0.051,13.0,0
0.06,55.0,0
0.058,38.0,0
0.046,45.0,1
0.066,21.0,0
0.063,35.0,0
0.055,15.0,0
0.055,25.0,0
0.05,20.0,0
0.058,15.0,0
0.05,25.0,0
0.08,68.0,1
0.09,30.0,0
0.062,35.0,0
0.062,70.0,1
0.074,97.0,1
0.039,20.0,0
0.047,25.0,0
0.062,35.0,0
0.07,70.0,1
0.05,20.0,0
0.055,64.0,1
0.079,45.0,0
0.05,20.0,0
0.067,70.0,1
0.056,21.0,0
0.061,94.0,1
0.06,60.0,0
0.051,11.0,0
0.062,17.0,0
0.055,35.0,0
0.06,35.0,0
0.041,8.0,0
0.065,65.0,0
0.054,48.0,0
0.059,42.0,1
0.042,16.0,0
0.058,40.0,0
0.059,42.0,1
0.048,44.0,0
0.053,27.0,0
0.065,65.0,0
0.044,22.0,0
0.063,35.0,0
0.052,20.0,0
0.065,65.0,1
0.051,25.0,0
0.07,68.0,0
0.072,33.0,0
0.08,85.0,1
0.04,22.0,0
0.055,13.0,0
0.066,72.0,1
0.042,30.0,1
0.051,24.0,0
0.04,32.0,0
0.09,75.0,1
0.042,18.0,0
0.05,18.0,0
0.048,30.0,0
0.06,69.0,1
0.04,39.0,0
0.08,80.0,0
0.045,18.0,0
0.053,35.0,0
0.07,113.0,1
0.052,42.0,0
0.055,30.0,0
0.04,17.0,0
0.053,22.0,0
0.054,24.0,0
0.07,35.0,0
0.052,21.0,0
0.057,31.0,0
0.047,9.0,0
0.047,15.0,0
0.099,85.0,0
0.034,6.0,0
0.054,30.0,0
0.095,99.0,1
0.092,100.0,1
0.057,40.0,0
0.056,55.0,0
0.072,60.0,0
0.057,36.0,0
0.05,10.0,0
0.05,20.0,0
0.051,45.0,0
0.083,23.0,0
0.099,60.0,0
0.04,20.0,0
0.053,22.0,0
0.046,18.0,0
0.051,20.0,0
0.062,80.0,1
0.05,28.0,0
0.075,90.0,1
0.062,40.0,0
0.058,15.0,0
0.065,77.0,1
0.05,20.0,0
0.059,70.0,1
0.085,90.0,1
0.068,55.0,1
0.05,38.0,0
0.059,55.0,1
0.058,36.0,1
0.047,35.0,1
0.061,94.0,1
0.05,20.0,0
0.069,6.0,0
0.065,65.0,0
0.051,17.0,0
0.063,55.0,0
0.046,11.0,0
0.06,55.0,1
0.048,22.0,0
0.041,16.0,0
0.058,21.0,0
0.065,33.0,1
0.05,21.0,0
0.087,85.0,1
0.065,90.0,1
0.05,26.0,0
0.056,20.0,0
0.055,10.0,0
0.058,45.0,0
0.097,94.0,1
0.052,24.0,0
0.05,22.0,0
0.052,18.0,0
0.089,88.0,1
0.048,15.0,0
0.047,19.0,0
0.07,80.0,1
0.068,75.0,1
0.049,17.0,0
0.043,45.0,0
0.058,36.0,0
0.057,13.0,0
0.06,75.0,1
0.052,25.0,0
0.049,20.0,0
0.05,100.0,1
0.037,10.0,0
0.07,68.0,1
0.053,7.0,0
0.055,40.0,0
0.06,31.0,0
0.053,35.0,0
0.085,52.0,0
0.051,17.0,0
0.05,20.0,0
0.065,8.0,0
0.045,25.0,0
0.099,85.0,0
0.072,87.0,1
0.04,20.0,0
0.056,20.0,0
0.069,69.0,1
0.042,18.0,0
0.053,20.0,0
0.065,65.0,0
0.049,29.0,0
0.043,18.0,0
0.055,40.0,0
0.047,20.0,0
0.064,62.0,1
0.073,85.0,0
0.045,8.0,0
0.072,60.0,1
0.047,9.0,0
0.044,28.0,0
0.049,20.0,0
0.059,14.0,0
0.059,55.0,0
0.065,11.0,0
0.082,100.0,1
0.072,85.0,1
0.064,75.0,1
0.062,68.0,1
0.072,65.0,1
0.057,18.0,0
0.052,15.0,0
0.054,15.0,0
0.07,70.0,1
0.092,72.0,0
0.027,21.0,0
0.051,20.0,0
0.075,70.0,1
0.063,75.0,1
0.068,16.0,0
0.055,52.0,0
0.069,20.0,0
0.06,25.0,0
0.05,40.0,0
0.046,18.0,0
0.06,43.0,0
0.06,50.0,1
0.072,22.0,0
0.05,19.0,0
0.06,70.0,1
0.057,70.0,1
0.045,30.0,1
0.065,65.0,0
0.067,74.0,1
0.052,23.0,0
0.045,32.0,0
0.059,60.0,0
0.05,16.0,0
0.068,47.0,1
0.04,34.0,0
0.087,85.0,1
0.049,22.0,0
0.048,18.0,0
0.07,85.0,1
0.09,75.0,1
0.045,27.0,0
0.09,60.0,0
0.07,80.0,1
0.045,15.0,0
0.068,21.0,0
0.05,27.0,0
0.049,17.0,0
0.07,75.0,1
0.075,93.0,0
0.048,32.0,0
0.055,37.0,0
0.039,20.0,0
0.047,42.0,0
0.049,30.0,0
0.06,60.0,1
0.045,24.0,0
0.056,36.0,0
0.065,65.0,0
0.061,41.0,0
0.085,86.0,1
0.077,23.0,0
0.066,30.0,0
0.046,27.0,0
0.071,60.0,1
0.052,32.0,0
0.099,100.0,1
0.099,100.0,0
0.052,27.0,0
0.072,75.0,1
0.05,20.0,0
0.059,18.0,0
0.049,22.0,0
0.055,20.0,0
0.039,20.0,0
0.062,61.0,1
0.061,60.0,0
0.066,44.0,0
0.044,12.0,0
0.068,70.0,1
0.059,75.0,1
0.052,40.0,0
0.054,45.0,0
0.052,10.0,0
0.047,11.0,0
0.08,35.0,0
0.063,69.0,1
0.053,22.0,0
0.045,20.0,0
0.062,55.0,1
0.07,70.0,1
0.055,30.0,0
0.065,71.0,1
0.052,24.0,0
0.062,65.0,1
0.056,70.0,1
0.099,85.0,0
0.058,43.0,0
0.088,85.0,1
0.048,32.0,0
0.05,22.0,0
0.053,45.0,0
0.048,15.0,0
0.042,24.0,0
0.052,34.0,0
0.059,27.0,0
0.068,100.0,1
0.05,5.0,0
0.063,23.0,0
0.052,27.0,0
0.065,65.0,1
0.062,55.0,0
0.035,45.0,0
0.062,60.0,1
0.051,36.0,0
0.052,18.0,0
0.072,93.0,1
0.061,64.0,1
0.071,16.0,0
0.095,25.0,0
0.07,105.0,1
0.055,30.0,0
0.04,37.0,1
0.05,29.0,0
0.068,70.0,1
0.055,30.0,0
0.059,60.0,1
0.052,50.0,0
0.071,45.0,0
0.047,9.0,0
0.099,90.0,1
0.054,23.0,0
0.08,35.0,0
0.08,88.0,1
0.05,16.0,0
0.06,23.0,0
0.095,85.0,1
0.07,70.0,1
0.058,20.0,0
0.07,80.0,1
0.065,22.0,0
0.054,20.0,0
0.073,70.0,0
0.046,15.0,0
0.065,60.0,1
0.061,66.0,1
0.06,24.0,0
0.056,46.0,0
0.068,62.0,0
0.05,7.0,0
0.049,24.0,0
0.071,62.0,1
0.042,20.0,0
0.05,40.0,0
0.056,37.0,0
0.067,74.0,1
0.059,14.0,0
0.049,35.0,0
0.05,28.0,0
0.068,68.0,1
0.08,66.0,0
0.042,35.0,1
