abv,ibu,is_ipa
0.052,16.0,0
0.06,25.56733919467191,0
0.087,85.0,1
0.068,75.0,1
0.058,70.0,0
0.069,98.91704027287746,1
0.071,136.1532715852131,0
0.079,48.0,0
0.051,26.0,0
0.039,16.0,0
0.065,29.58473363558126,0
0.052,19.0,0
0.05,30.0,0
0.072,70.0,1
0.075,112.83854158142084,1
0.095,37.0,0
0.07,18.0,0
0.062,124.16477420943248,1
0.077,73.0,1
0.048,49.731617462856605,0
0.039,20.0,0
0.078,80.0,1
0.05,32.0,0
0.053,18.0,0
0.048,15.0,0
0.057,60.0,0
0.082,,1
0.063,95.92441177172216,0
0.052,15.0,0
0.063,100.0,1
0.044,22.0,0
0.056,45.0,0
0.05,15.0,0
0.07,80.0,1
0.052,16.0,0
0.082,68.0,1
0.099,40.0,0
0.057,0.0,0
0.052,17.0,0
0.07,48.0,0
0.068,66.0,1
0.07,24.007003615543663,1
0.052,18.0,0
0.07,113.87444911248352,1
0.05,20.0,0
0.054,30.0,0
0.065,75.0,1
0.066,,1
0.055,0.0,0
0.087,29.0,0
0.042,22.0,0
0.05,18.348851019937165,0
0.07,100.0,1
0.076,80.0,1
0.04,0.0,1
0.062,72.0,1
0.064,65.0,1
0.065,54.885429278644864,1
0.048,19.0,0
0.058,115.51491067508022,0
0.066,,0
0.06,25.0,0
0.08,120.0,1
0.055,6.1607386901340675,1
0.055,69.80215672268073,0
0.072,80.0,0
0.096,85.0,1
0.051,24.0,0
0.055,16.0,0
0.046,24.0,0
0.052,67.27914996811961,0
0.056,0.0,0
0.08,22.0,0
0.067,24.934890532613643,1
0.05,17.0,0
0.05,22.0,0
0.062,70.0,1
0.055,54.0,0
0.05,35.0,0
0.065,113.1838622187708,0
0.08,70.0,0
0.039,,0
0.052,65.0,0
0.052,28.0,0
0.05,12.0,0
0.053,,0
0.07,70.0,1
0.042,0.0,0
0.073,82.0,1
0.05,18.0,0
0.053,20.0,0
0.055,20.0,0
0.06,66.0,0
0.055,23.0,0
0.099,100.0,0
0.053,11.0,0
0.075,84.27298795706271,0
0.057,35.00791609163104,0
0.05,30.73093626600061,0
0.069,34.0,0
0.099,100.0,1
0.05,28.0,0
0.082,45.0,1
0.055,30.0,0
0.053,22.0,0
0.08,37.98183275255468,1
0.039,20.0,0
0.056,33.0,0
0.045,23.0,0
0.065,80.0,1
0.04,16.66715189819628,0
0.072,75.0,1
0.039,20.0,0
0.07,70.0,1
0.06,,0
0.052,60.0,0
0.08,32.0,0
0.057,20.0,0
0.06,45.0,0
0.09,115.5281137464665,1
0.056,4.270987095800006,0
0.08,100.0,1
0.057,91.69876904714181,0
0.06,34.0,0
0.042,24.0,0
0.058,6.252613695588352,0
0.075,40.55024522196846,1
0.046,17.0,0
0.056,6.353069162075585,0
0.071,27.0,0
0.05,24.0,0
0.045,18.0,0
0.054,27.0,0
0.05,64.0,0
0.044,33.0,0
0.06,24.0,0
0.055,25.0,0
0.06,30.0,0
0.056,21.165068788031846,0
0.051,28.0,0
0.039,20.0,0
0.066,8.448595466636284,1
0.065,82.0,1
0.049,20.0,0
0.066,106.10368743657308,1
0.05,17.0,0
0.047,25.0,0
0.059,143.79131969381768,1
0.05,29.0,1
0.055,50.0,0
0.054,62.0,0
0.052,,0
0.054,29.0,0
0.05,24.917528234246255,0
0.056,65.0,0
0.065,13.74695790793546,0
0.056,0.0,0
0.054,23.0,0
0.062,16.377688690227473,1
0.09,30.0,0
0.07,73.0,1
0.078,74.0,1
0.042,26.0,0
0.051,31.0,0
0.065,2.284363017936812,0
0.065,0.0,0
0.054,32.0,0
0.057,6.5958859297385715,0
0.049,,0
0.049,41.21550297537418,0
0.055,111.05234818245964,0
0.045,15.0,0
0.05,15.0,0
0.055,34.0,0
0.065,55.0,1
0.055,33.46711657218285,0
