frequency,angle,chord_length,velocity,thickness,sound_pressure_level
-0.05837030765459507,-0.10721434618268154,-0.07217184516389916,-0.07668324337408403,-0.05021606644232135,120.162
-0.05837030765459507,-0.09988444041235038,-0.07217194843096765,-0.07582787338826262,-0.0502160664420775,124.353
-0.05841780908559092,-0.09098384054837685,-0.07217198285332382,-0.07668324337408403,-0.050216066438908656,121.315
-0.058399189756943574,-0.08208324068440331,-0.07213478339903885,-0.07689641128853163,-0.0502160664411125,131.796
-0.058412379250349394,-0.10075704824215172,-0.07217198285332382,-0.07689641128853163,-0.05021606644222888,126.266
-0.058297139661978845,-0.10302582859963517,-0.07217194843096765,-0.028389959131421377,-0.05021606644233154,116.677
-0.05835779207691071,-0.10512008739115834,-0.07217201727567998,-0.07668324337408403,-0.05021606644264774,133.587
-0.05832217081734755,-0.07370620551831056,-0.07217198285332382,-0.07582787338826262,-0.05021606644181221,116.723
-0.058412379250349394,-0.10320035016559544,-0.07217189679743341,-0.07686133302412886,-0.05021606644220852,129.691
-0.058110368733458484,-0.10546913052307888,-0.07217189679743341,-0.07582787338826262,-0.05021606644241187,112.768
-0.05840881712439308,-0.09970991884639013,-0.07217189679743341,-0.07689641128853163,-0.05021606644153074,128.169
-0.058403040703923374,-0.10546913052307888,-0.07217189679743341,-0.07625420921715784,-0.05021606644238521,131.864
-0.05840631400885621,-0.0977901816208272,-0.07217201727567998,-0.07625420921715784,-0.05021606644227462,126.152
-0.058399189756943574,-0.1124499931614895,-0.07217198285332382,-0.07582787338826262,-0.05021606644267782,128.825
-0.058412379250349394,-0.09970991884639013,-0.07217189679743341,-0.07668324337408403,-0.05021606644161818,132.149
-0.058297139661978845,-0.10302582859963517,-0.07217194843096765,-0.07582787338826262,-0.0502160664424113,116.411
-0.05832217081734755,-0.10302582859963517,-0.07217194843096765,-0.07689641128853163,-0.05021606644275489,115.691
-0.058387636916004175,-0.09290357777393976,-0.07217201727567998,-0.07668324337408403,-0.05021606644136133,126.54
-0.05826440661265053,-0.09028575428453578,-0.07217203448685806,-0.07582787338826262,-0.0502160664416341,120.538
