index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1395,719,Sweet Georgia Brown,American Brown Ale,16,0.054,empty,514,Monkey Paw Pub & Brewery,San Diego,CA
477,2607,Black Beer'd,American Black Ale,16,0.068,empty,24,Burn 'Em Brewing,Michigan City,IN
1178,1666,King Street Hefeweizen,Hefeweizen,12,0.057,10,102,King Street Brewing Company,Anchorage,AK
1090,2199,Hopworks IPA,American IPA,16,0.066,75,80,Hopworks Urban Brewery,Portland,OR
1172,59,Lift Bridge Brown Ale,American Brown Ale,12,empty,empty,84,Keweenaw Brewing Company,Houghton,MI
1001,2339,Little Red Cap,Altbier,12,0.063,43,144,Grimm Brothers Brewhouse,Loveland,CO
1877,512,Autumnation (2011-12) (2011),Pumpkin Ale,16,0.06,48,46,Sixpoint Craft Ales,Brooklyn,NY
1383,337,Boneshaker Brown Ale,English Brown Ale,24,0.055,empty,547,Moat Mountain Smoke House & Brew...,North Conway,NH
608,1695,Wiregrass Post-Prohibition Ale,American Pale Ale (APA),12,0.063,empty,141,Cigar City Brewing Company,Tampa,FL
416,2091,Mela,Belgian Dark Ale,16,0.062,empty,10,Brewery Vivant,Grand Rapids,MI
274,1413,Single Hop Ale,American Pale Ale (APA),12,0.063,empty,407,Bitter Root Brewing,Hamilton,MT
1294,958,DAX Light (1998),Light Lager,12,0.045,empty,299,Matt Brewing Company,Utica,NY
781,1451,Moirai India Pale Ale,American IPA,16,0.07,70,405,Fate Brewing Company,Boulder,CO
2196,948,Circuit Bohemian Pilsner,Czech Pilsener,16,0.045,35,17,Tin Man Brewing Company,Evansville,IN
251,643,Big River Pilsner,Czech Pilsener,12,0.05,32,519,Big River Brewing Company,Chattanooga,TN
414,2101,Smoky Wheat,Rauchbier,16,0.051,empty,10,Brewery Vivant,Grand Rapids,MI
1547,1528,Orlison India Pale Lager,American Pale Lager,16,0.067,empty,390,Orlison Brewing Company,Airway Heights,WA
2112,765,Buffalo Sweat,Milk / Sweet Stout,16,0.05,20,45,Tallgrass Brewing Company,Manhattan,KS
1502,1226,Three Skulls Ale Pale Ale,American Pale Ale (APA),16,0.063,42,450,Northwest Brewing Company,Pacific,WA
311,1547,Full Nelson Pale Ale,American Pale Ale (APA),12,0.059,60,382,Blue Mountain Brewery,Afton,VA
2115,537,Velvet Rooster,Tripel,16,0.085,empty,45,Tallgrass Brewing Company,Manhattan,KS
894,1698,Wolf Among Weeds IPA,American IPA,16,0.08,70,240,Golden Road Brewing,Los Angeles,CA
2366,430,Hop Slayer Double IPA (2011),American Double / Imperial IPA,12,0.082,100,361,Wild Onion Brewing Company,Lake Barrington,IL
426,1958,Belgian Wit,Witbier,16,0.045,empty,10,Brewery Vivant,Grand Rapids,MI
2335,2439,Christmas Ale,Herbed / Spiced Beer,12,0.09,empty,100,West Sixth Brewing,Lexington,KY
16,2318,Ginja Ninja,Cider,12,0.06,empty,154,2 Towns Ciderhouse,Corvallis,OR
2174,2421,Watermelon Ale,Fruit / Vegetable Beer,12,0.051,11,108,Thomas Hooker Brewing Company,Bloomfield,CT
722,1201,Striped Bass Pale Ale,American Pale Ale (APA),12,0.052,26,237,Devil's Backbone Brewing Company,Lexington,VA
1903,1123,Helles Golden Lager,Munich Helles Lager,12,0.049,18,371,Sly Fox Brewing Company,Pottstown,PA
2111,912,Oasis,Extra Special / Strong Bitter (ESB),16,0.072,93,45,Tallgrass Brewing Company,Manhattan,KS
982,2313,Mothman Black IPA,American Black Ale,12,0.067,71,156,Greenbrier Valley Brewing Company,Lewisburg,WV
349,998,Tent Pole Vanilla Porter,American Porter,16,0.061,empty,107,Bonfire Brewing Company,Eagle,CO
2047,1599,Royal Brat,Extra Special / Strong Bitter (ESB),16,0.065,55,25,Sun King Brewing Company,Indianapolis,IN
1997,2270,Point Cascade Pale Ale (2013),American Pale Ale (APA),12,0.054,33,131,Stevens Point Brewery,Stevens Point,WI
2313,1770,Voodoo Love Child,Tripel,12,0.092,25,322,Voodoo Brewery,Meadville,PA
527,2066,Fisherman's IPA,American IPA,12,0.055,64,230,Cape Ann Brewing Company,Gloucester,MA
1809,1683,Dread Brown Ale,American Brown Ale,12,0.054,empty,252,Santa Cruz Mountain Brewing,Santa Cruz,CA
364,1143,Boston Lager,Vienna Lager,12,0.049,30,300,Boston Beer Company,Boston,MA
1271,1672,Riverwalk Blonde Ale,American Blonde Ale,12,0.06,25,346,Manzanita Brewing Company,Santee,CA
183,2593,Grapefruit Sculpin,American IPA,12,0.07,empty,34,Ballast Point Brewing Company,San Diego,CA
986,1505,Flying Jenny Extra Pale Ale,American Pale Ale (APA),12,0.06,54,379,Grey Sail Brewing of Rhode Island,Westerly,RI
1702,339,Copper Hook (2011),American Amber / Red Ale,12,0.058,27,487,Redhook Brewery,Woodinville,WA
171,705,Hog Wild India Pale Ale,American IPA,12,0.067,empty,360,Aviator Brewing Company,Fuquay-Varina,NC
2058,923,The Velvet Fog,Quadrupel (Quad),16,0.09,24,25,Sun King Brewing Company,Indianapolis,IN
1062,1605,Festeroo Winter Ale,American Strong Ale,12,0.078,60,198,Hop Valley Brewing Company,Springfield,OR
2385,2146,#004 Session I.P.A.,American IPA,12,0.048,38,211,Wisconsin Brewing Company,Verona,WI
813,520,Inclined Plane Ale,American IPA,12,empty,empty,532,Flat Rock Brewing Company,Smithton,PA
188,1018,Sculpin IPA,American IPA,12,0.07,70,34,Ballast Point Brewing Company,San Diego,CA
620,570,Hotter Than Helles Lager,Munich Helles Lager,12,0.05,empty,141,Cigar City Brewing Company,Tampa,FL
2094,1710,SweetWater IPA,American IPA,12,0.064,empty,49,SweetWater Brewing Company,Atlanta,GA
152,2502,Vanilla Java Porter,American Porter,16,0.055,12,72,Atwater Brewery,Detroit,MI
159,342,Peacemaker,American Pale Ale (APA),12,0.051,empty,413,Austin Beerworks,Austin,TX
1886,1192,Vernal Minthe Stout,American Stout,12,0.058,empty,264,Ska Brewing Company,Durango,CO
273,1441,Blown Out Brown,American Brown Ale,12,0.052,empty,407,Bitter Root Brewing,Hamilton,MT
615,1141,Jai Alai IPA Aged on White Oak,American IPA,12,0.075,70,141,Cigar City Brewing Company,Tampa,FL
490,51,Snapperhead IPA,American IPA,12,0.068,empty,556,Butternuts Beer and Ale,Garrattsville,NY
1969,2486,Baby Daddy Session IPA,American IPA,12,0.047,35,78,Speakasy Ales & Lagers,San Francisco,CA
1369,2278,Mountain Crest,American Pale Lager,12,0.055,empty,134,Minhas Craft Brewery,Monroe,WI
995,2141,Grand Trunk Bohemian Pils,Czech Pilsener,16,0.05,35,124,Griffin Claw Brewing Company,Birmingham,MI
1865,1608,Global Warmer,American Strong Ale,12,0.07,70,46,Sixpoint Craft Ales,Brooklyn,NY
372,2107,Plum St. Porter,American Porter,12,0.06,52,219,Bozeman Brewing Company,Bozeman,MT
1837,1766,Humulus Nimbus Super Pale Ale,American Pale Ale (APA),16,0.06,53,183,Seventh Son Brewing Company,Columbus,OH
594,2354,Lighthouse Amber,Altbier,16,0.052,empty,121,Cheboygan Brewing Company,Cheboygan,MI
1963,853,PRO-AM (2012) (2012),American Double / Imperial IPA,12,0.099,100,118,Southern Star Brewing Company,Conroe,TX
2398,1514,Easy Day Kolsch,K?lsch,12,0.045,25,199,Worthy Brewing Company,Bend,OR
688,184,The Public,American Pale Ale (APA),12,0.06,empty,227,DC Brau Brewing Company,Washington,DC
1510,2331,Watershed IPA,American IPA,12,0.067,70,150,Oakshire Brewing,Eugene,OR
