index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1512,1668,Overcast Espresso Stout,American Stout,12.0,0.058,27.0,150.0,Oakshire Brewing,Eugene,OR
1513,999,Watershed IPA (2013),American IPA,12.0,0.067,70.0,150.0,Oakshire Brewing,Eugene,OR
1514,2247,Lake Monster,Baltic Porter,16.0,0.082,25.0,184.0,Oasis Texas Brewing Company,Austin,TX
1515,2071,London Homesick Ale,English Bitter,12.0,0.049,27.0,184.0,Oasis Texas Brewing Company,Austin,TX
1516,2070,Luchesa Lager,Keller Bier / Zwickel Bier,12.0,0.048,35.0,184.0,Oasis Texas Brewing Company,Austin,TX
1517,2069,Slow Ride,American Pale Ale (APA),12.0,0.048,35.0,184.0,Oasis Texas Brewing Company,Austin,TX
1522,2335,Perpetual Darkness,Belgian Strong Dark Ale,12.0,0.092,72.0,148.0,Odyssey Beerwerks,Arvada,CO
1523,2334,Clan Warrior,Scotch Ale / Wee Heavy,12.0,0.087,29.0,148.0,Odyssey Beerwerks,Arvada,CO
1524,2333,Psycho Penguin Vanilla Porter,American Porter,12.0,0.054,36.0,148.0,Odyssey Beerwerks,Arvada,CO
1529,1059,The Hole in Hadrian's Wall,Scottish Ale,16.0,0.095,19.0,471.0,Okoboji Brewing Company,Spirit Lake,IA
1530,1058,33 Select Brown Ale,American Brown Ale,16.0,0.065,26.0,471.0,Okoboji Brewing Company,Spirit Lake,IA
1531,603,Midwest Charm Farmhouse Ale,Saison / Farmhouse Ale,16.0,0.06,29.0,471.0,Okoboji Brewing Company,Spirit Lake,IA
1532,602,Boji Blue Pale Ale,American Pale Ale (APA),16.0,0.05,45.0,471.0,Okoboji Brewing Company,Spirit Lake,IA
1533,601,Winter Games Select #32 Stout,American Stout,16.0,0.057,26.0,471.0,Okoboji Brewing Company,Spirit Lake,IA
1534,600,Boji Beach Golden Rye Ale,Rye Beer,16.0,0.05,23.0,471.0,Okoboji Brewing Company,Spirit Lake,IA
1536,1487,Falling Down Brown Ale,American Brown Ale,16.0,0.065,65.0,301.0,Old Forge Brewing Company,Danville,PA
1539,1394,Old Forge Pumpkin Ale,Pumpkin Ale,16.0,0.046,20.000000000000004,301.0,Old Forge Brewing Company,Danville,PA
1552,2302,Pinner Throwback IPA,American IPA,12.0,0.049,35.0,166.0,Oskar Blues Brewery,Longmont,CO
1561,1252,Dale's Pale Ale,American Pale Ale (APA),12.0,0.065,65.0,166.0,Oskar Blues Brewery,Longmont,CO
1562,1167,Mama's Little Yella Pils,Czech Pilsener,19.2,0.053000000000000005,35.0,166.0,Oskar Blues Brewery,Longmont,CO
1565,955,Dale's Pale Ale,American Pale Ale (APA),19.2,0.065,65.0,166.0,Oskar Blues Brewery,Longmont,CO
1757,1099,Old Wylie's IPA,American IPA,12.0,0.062,43.03556187766714,43.0,Rivertowne Brewing Company,Export,PA
1758,1098,Hala Kahiki Pineapple Beer,Fruit / Vegetable Beer,12.0,0.048,43.03556187766714,43.0,Rivertowne Brewing Company,Export,PA
1761,1724,Cal and Co. Black Cherry Porter,American Porter,16.0,0.0733828790459969,43.03556187766714,229.0,Rochester Mills Brewing Company,Rochester,MI
1764,363,Milkshake Stout,Milk / Sweet Stout,16.0,0.05,43.03556187766714,229.0,Rochester Mills Brewing Company,Rochester,MI
1765,158,Cornerstone IPA,American IPA,16.0,0.07,43.03556187766714,229.0,Rochester Mills Brewing Company,Rochester,MI
1768,1577,12th Round,American Strong Ale,16.0,0.076,78.0,376.0,RoughTail Brewing Company,Midwest City,OK
1769,1576,RoughTail IPA,American IPA,16.0,0.07,80.0,376.0,RoughTail Brewing Company,Midwest City,OK
1770,1575,Polar Night Stout,American Stout,16.0,0.08,43.03556187766714,376.0,RoughTail Brewing Company,Midwest City,OK
1771,2304,Sundown,Saison / Farmhouse Ale,12.0,0.071,36.0,164.0,Round Guys Brewing,Lansdale,PA
1772,2249,Sanctified,Belgian Strong Pale Ale,12.0,0.099,43.03556187766714,164.0,Round Guys Brewing,Lansdale,PA
1774,1842,Original Slacker Ale,English Brown Ale,12.0,0.056,40.0,164.0,Round Guys Brewing,Lansdale,PA
1775,1841,Alpha Blackback,American Black Ale,12.0,0.072,43.03556187766714,164.0,Round Guys Brewing,Lansdale,PA
1776,1782,Kiss Off IPA,American IPA,12.0,0.063,43.03556187766714,164.0,Round Guys Brewing,Lansdale,PA
1777,1552,Dog Days Summer Ale,K?lsch,12.0,0.045,28.0,164.0,Round Guys Brewing,Lansdale,PA
1778,1479,1881 California Red,American Amber / Red Ale,12.0,0.056,35.0,397.0,Ruhstaller Beer Company,Sacramento,CA
1779,1478,CAPT Black IPA,American Black Ale,12.0,0.073,55.0,397.0,Ruhstaller Beer Company,Sacramento,CA
1780,1370,Ruhstaller's Gilt Edge Lager Beer,American Amber / Red Lager,12.0,0.048,42.0,397.0,Ruhstaller Beer Company,Sacramento,CA
1781,883,CAPT Black IPA,American Black Ale,16.0,0.073,55.0,397.0,Ruhstaller Beer Company,Sacramento,CA
1782,882,1881 California Red Ale,American Amber / Red Ale,16.0,0.056,35.0,397.0,Ruhstaller Beer Company,Sacramento,CA
