index,age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income
15789,23.0,Self-emp-not-inc,211046.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,2463.0,0.0,40.0,Yugoslavia,1.0
37454,22.0,Self-emp-not-inc,113550.0,Some-college,9.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
19911,33.0,Self-emp-not-inc,118941.0,Some-college,13.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,32.0,Yugoslavia,0.0
6378,50.0,Private,189831.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,7298.0,0.0,50.0,Yugoslavia,0.0
17237,47.0,Self-emp-not-inc,184945.0,Some-college,10.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,35.0,Yugoslavia,0.0
4491,49.0,Self-emp-not-inc,390746.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,1672.0,45.0,Yugoslavia,1.0
24609,46.0,Self-emp-not-inc,188293.0,Some-college,9.0,Married-spouse-absent,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
3979,28.0,Self-emp-not-inc,180313.0,Some-college,13.0,Widowed,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
37180,47.0,Self-emp-not-inc,162302.0,Some-college,9.0,Married-spouse-absent,Machine-op-inspct,Wife,White,Male,0.0,0.0,20.0,Yugoslavia,1.0
18553,30.0,Self-emp-not-inc,35644.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,10.0,Yugoslavia,1.0
9939,36.0,Without-pay,193026.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,60.0,Yugoslavia,1.0
32424,23.0,Self-emp-not-inc,300275.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,48.0,Yugoslavia,1.0
10787,23.0,Self-emp-not-inc,216129.0,Some-college,10.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
23084,58.0,Self-emp-not-inc,201344.0,Some-college,13.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,20.0,Yugoslavia,1.0
32095,29.0,Self-emp-not-inc,173851.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
35675,34.0,Without-pay,527162.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,30.0,Yugoslavia,1.0
20183,32.0,Without-pay,173314.0,Some-college,11.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,Yugoslavia,1.0
19537,51.0,Without-pay,149220.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,75.0,Yugoslavia,1.0
7114,64.0,Self-emp-inc,210464.0,Some-college,14.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
9810,21.0,Self-emp-not-inc,142332.0,Some-college,8.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,25.0,Yugoslavia,1.0
21277,54.0,State-gov,149650.0,Some-college,9.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
23161,27.0,Self-emp-inc,124680.0,Some-college,14.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
24654,26.0,Self-emp-not-inc,102420.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
33569,45.0,Self-emp-not-inc,145636.0,Some-college,14.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,1977.0,43.0,Yugoslavia,0.0
11217,66.0,Self-emp-not-inc,86321.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,22.0,Yugoslavia,1.0
30531,19.0,Self-emp-not-inc,252862.0,Some-college,11.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
30903,27.0,Self-emp-not-inc,188171.0,Doctorate,6.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,60.0,Yugoslavia,1.0
38719,43.0,Self-emp-not-inc,245056.0,Some-college,9.0,Widowed,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
23589,53.0,Self-emp-not-inc,68683.99999999999,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
19348,29.0,Self-emp-not-inc,250967.0,Some-college,11.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
27144,24.0,Self-emp-not-inc,385540.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
30261,50.0,Self-emp-not-inc,143664.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
35847,27.0,Self-emp-not-inc,85126.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
22285,35.0,Private,20469.0,Some-college,10.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
2121,20.0,Self-emp-not-inc,107882.0,Some-college,10.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,20.0,Yugoslavia,1.0
32359,36.0,Self-emp-not-inc,58343.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,3103.0,0.0,42.0,Yugoslavia,0.0
31492,38.0,Self-emp-not-inc,33105.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,70.0,Yugoslavia,0.0
4025,39.0,Without-pay,113749.0,Some-college,5.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
37799,50.0,Self-emp-not-inc,174655.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,45.0,Yugoslavia,0.0
12763,53.0,Self-emp-not-inc,161482.0,Some-college,13.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,50.0,Yugoslavia,0.0
45017,49.0,Self-emp-not-inc,189462.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
13917,34.0,Without-pay,450141.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,15024.0,0.0,35.0,Yugoslavia,0.0
34991,25.0,Self-emp-not-inc,476334.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,48.0,Yugoslavia,1.0
6287,60.0,Self-emp-not-inc,127712.0,Some-college,11.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,45.0,Yugoslavia,1.0
